"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Mega Tyranitar","Bite","Crunch","16.972","904.8","4423.3","5347"
"Mega Houndoom","Snarl","Foul Play","18.364","574.3","3556.6","3842"
"Mega Gyarados","Bite","Crunch","16.175","747.3","3162.2","4717"
"Hydreigon","Bite","Brutal Swing","17.53","558.1","3006.5","3625"
"Shadow Tyranitar","Bite","Crunch","17.214","530.4","2705.5","3834"
"Shadow Weavile","Snarl","Foul Play","19.061","383.4","2655.1","3005"
"Ash Greninja","Feint Attack","Night Slash","18.103","407.9","2419.8","3984"
"Mega Absol","Snarl","Dark Pulse","18.617","366.8","2366.9","3301"
"Darkrai","Snarl","Dark Pulse","16.803","464.5","2203.3","3739"
"Mega Gengar","Sucker Punch","Dark Pulse","16.282","452.2","1951.8","4336"
"Shadow Honchkrow","Snarl","Dark Pulse","18.449","302.2","1897.4","2711"
"Yveltal","Snarl","Dark Pulse","15.063","545.7","1865.1","3781"
"Shadow Houndoom","Snarl","Foul Play","17.921","323","1858.8","2635"
"Guzzlord","Snarl","Brutal Swing","14.86","534.9","1755.2","2887"
"Mega Sharpedo","Bite","Crunch","16.403","372.3","1642.9","3273"
"Zarude","Bite","Dark Pulse","14.244","563.8","1629.6","3833"
"Tyranitar","Bite","Crunch","14.275","527.8","1535.2","3834"
"Shadow Absol","Snarl","Dark Pulse","18.135","252","1502.9","2526"
"Weavile","Snarl","Foul Play","15.779","380.9","1496.2","3005"
"Urshifu (Single Strike Style)","Sucker Punch","Payback","14.551","465.3","1433.5","3606"
"Shadow Shiftry","Snarl","Foul Play","16.482","287.8","1288.5","2333"
"Zoroark","Snarl","Foul Play","16.377","274.4","1205.2","2571"
"Grimmsnarl","Bite","Foul Play","14.666","362.1","1142.1","2850"
"Shadow Sharpedo","Bite","Crunch","17.945","190.2","1099.1","2181"
"Honchkrow","Snarl","Dark Pulse","15.167","298.1","1040.1","2711"
"Houndoom","Snarl","Foul Play","14.808","320.3","1039.9","2635"
"Shadow Gyarados","Bite","Crunch","13.782","370.1","968.7","3391"
"Shadow Cacturne","Sucker Punch","Dark Pulse","16.102","226.4","945.1","2298"
"Bisharp","Snarl","Dark Pulse","13.932","328.7","888.8","2844"
"Krookodile","Snarl","Crunch","13.368","370.7","885.7","3046"
"Incineroar","Snarl","Dark Pulse","13.053","397.6","884.2","2996"
"Zamazenta - Crowned Shield","Snarl","Crunch","11.789","519.9","851.7","4172"
"Absol","Snarl","Dark Pulse","14.976","249.7","838.9","2526"
"Zamazenta - Hero of Many Battles","Snarl","Crunch","12.052","434.5","760.7","3829"
"Tornadus (Incarnate Forme)","Bite","Dark Pulse","13.158","331.8","755.9","3345"
"Shadow Arcanine","Snarl","Crunch","13.366","310.6","741.6","3029"
"Galarian Moltres","Sucker Punch","Payback","11.737","444.8","719.3","3167"
"Shiftry","Snarl","Foul Play","13.583","284.6","713.1","2333"
"Shadow Luxray","Snarl","Crunch","13.661","276.9","706.1","2888"
"Pangoro","Snarl","Night Slash","12.794","330.2","691.6","2902"
"Shadow Skuntank","Bite","Crunch","13.439","279.9","679.3","2358"
"Shadow Sneasel","Feint Attack","Foul Play","14.588","218.7","678.9","2051"
"Shadow Drapion","Bite","Crunch","12.719","298.5","614.1","2453"
"Alolan Muk","Snarl","Dark Pulse","11.751","378.2","613.6","2757"
"Sharpedo","Bite","Crunch","14.701","187","593.9","2181"
"Gyarados","Bite","Crunch","11.439","368.6","551.6","3391"
"Shadow Feraligatr","Bite","Crunch","12.07","301.8","530.8","2857"
"Cacturne","Sucker Punch","Dark Pulse","13.28","224","524.7","2298"
"Greninja","Feint Attack","Night Slash","12.313","272.6","508.8","2654"
"Shadow Liepard","Snarl","Dark Pulse","14.218","176.1","506.1","1846"
"Gengar","Sucker Punch","Dark Pulse","12.688","245.5","501.5","2878"
"Shadow Granbull","Bite","Crunch","12.776","239.5","499.4","2552"
"Polteageist","Sucker Punch","Dark Pulse","11.971","288.1","494.2","3058"
"Mew","Snarl","Dark Pulse","10.666","399.7","485","3265"
"Crawdaunt","Snarl","Night Slash","12.623","240.7","484.1","2474"
"Shadow Mismagius","Sucker Punch","Dark Pulse","12.457","247.4","478.1","2615"
"Hisuian Arcanine","Snarl","Crunch","11.291","325.8","469","3145"
"Barraskewda","Bite","Crunch","12.555","211.6","418.7","2656"
"Arcanine","Bite","Crunch","11.067","308.6","418.4","3029"
"Shadow Murkrow","Feint Attack","Foul Play","14.288","143.3","417.9","1562"
"Zygarde (50% Forme)","Bite","Crunch","9.874","429.9","413.9","3410"
"Scrafty","Snarl","Foul Play","10.862","318","407.5","2283"
"Luxray","Snarl","Crunch","11.295","274.8","396","2888"
"Shadow Mightyena","Bite","Crunch","12.505","198.8","388.8","1926"
"Sneasel","Feint Attack","Foul Play","12.078","217.3","382.9","2051"
"Skuntank","Bite","Crunch","11.105","277.5","380.1","2358"
"Drapion","Bite","Crunch","10.582","298","353.1","2453"
"Trevenant","Sucker Punch","Foul Play","10.867","271.5","348.4","2559"
"Avalugg","Bite","Crunch","9.551","390.4","340.2","3198"
"Lycanroc (Dusk Form)","Sucker Punch","Crunch","11.116","234.4","321.9","2678"
"Lycanroc (Midday Form)","Sucker Punch","Crunch","11.116","234.4","321.9","2678"
"Shadow Exploud","Bite","Crunch","10.973","238.2","314.7","2347"
"Feraligatr","Bite","Crunch","10.036","301.1","304.4","2857"
"Shadow Amoonguss","Feint Attack","Foul Play","10.571","248.6","293.6","2140"
"Liepard","Snarl","Dark Pulse","11.739","174.5","282.3","1846"
"Granbull","Bite","Crunch","10.566","237.7","280.3","2552"
"Mismagius","Sucker Punch","Dark Pulse","10.356","246.8","274.1","2615"
"Morpeko","Bite","Crunch","11.495","180.1","273.6","1942"
"Druddigon","Bite","Night Slash","10.128","258.8","268.9","2732"
"Mandibuzz","Snarl","Foul Play","8.983","352.5","255.5","2138"
"Umbreon","Snarl","Foul Play","8.719","356.4","236.3","2137"
"Mega Sableye","Feint Attack","Foul Play","9.665","259.1","233.9","1942"
"Murkrow","Feint Attack","Foul Play","11.744","141.3","228.9","1562"
"Bruxish","Bite","Crunch","10.282","210.1","228.3","2389"
"Simipour","Bite","Crunch","10.263","206.6","223.3","2350"
"Simisage","Bite","Crunch","10.263","206.6","223.3","2350"
"Simisear","Bite","Crunch","10.263","206.6","223.3","2350"
"Thievul","Snarl","Night Slash","9.897","229.9","222.9","2136"
"Alolan Persian","Feint Attack","Foul Play","10.411","194.2","219.2","1771"
"Mightyena","Bite","Crunch","10.354","197.5","219.2","1926"
"Shadow Sableye","Feint Attack","Foul Play","11.271","149.6","214.2","1476"
"Zweilous","Bite","Dark Pulse","10.036","199.5","201.7","1839"
"Shadow Arbok","Bite","Dark Pulse","10.466","172.9","198.2","1921"
"Shadow Alolan Raticate","Bite","Crunch","10.078","193","197.6","1705"
"Huntail","Bite","Crunch","9.665","209.5","189.1","2340"
