"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Mega Garchomp","Dragon Tail","Outrage","21.686","996.6","10163.9","5424"
"Mega Rayquaza","Dragon Tail","Outrage","22.667","836.4","9739.9","5066"
"Eternamax Eternatus","Dragon Tail","Dragon Pulse","14.769","2488.9","8017","8187"
"Mega Salamence","Dragon Tail","Outrage","19.788","928.2","7191.4","5031"
"Black Kyurem","Dragon Tail","Outrage","20.266","724","6026.4","4605"
"Shadow Salamence","Dragon Tail","Outrage","22.163","541.8","5898.5","3749"
"Mega Latios","Dragon Breath","Dragon Claw","19.5","781.2","5792.5","5007"
"Shadow Dragonite","Dragon Tail","Outrage","20.854","575.4","5218.5","3792"
"Mega Latias","Dragon Breath","Outrage","17.815","869.8","4918.5","4801"
"Shadow Latios","Dragon Breath","Dragon Claw","19.411","522.4","3820.3","3812"
"White Kyurem","Dragon Breath","Dragon Pulse","17.949","641.2","3708.1","4605"
"Rayquaza","Dragon Tail","Outrage","18.68","546.8","3564.4","3835"
"Palkia","Dragon Tail","Draco Meteor","17.91","583.2","3350.3","3991"
"Salamence","Dragon Tail","Outrage","18.271","536","3269.2","3749"
"Garchomp","Dragon Tail","Outrage","17.19","630.3","3201.8","3962"
"Zekrom","Dragon Breath","Outrage","17.419","601","3176.7","4038"
"Eternatus","Dragon Tail","Dragon Pulse","16.713","679.4","3171.9","4429"
"Dialga","Dragon Breath","Draco Meteor","17.09","589.7","2943.7","4038"
"Reshiram","Dragon Breath","Draco Meteor","17.09","589.7","2943.7","4038"
"Dragonite","Dragon Tail","Outrage","17.229","570.5","2917.6","3792"
"Shadow Latias","Dragon Breath","Outrage","17.517","542","2913.5","3510"
"Mega Gyarados","Dragon Tail","Outrage","15.652","723.1","2772.9","4717"
"Dragapult","Dragon Tail","Outrage","17.55","493.4","2667.5","3532"
"Haxorus","Dragon Tail","Dragon Claw","17.751","456.1","2551.2","3593"
"Mega Charizard X","Dragon Breath","Dragon Claw","16.273","569.3","2453.1","3850"
"Shadow Alolan Exeggutor","Dragon Tail","Draco Meteor","18.167","407.7","2444.8","3014"
"Latios","Dragon Breath","Dragon Claw","16.102","520","2170.7","3812"
"Mega Charizard Y","Dragon Breath","Dragon Claw","15.756","548.8","2146.3","4455"
"Kyurem","Dragon Breath","Draco Meteor","15.688","523.6","2021.6","3575"
"Shadow Gyarados","Dragon Tail","Outrage","15.906","427.1","1718.9","3391"
"Latias","Dragon Breath","Outrage","14.545","540.1","1662.1","3510"
"Hydreigon","Dragon Breath","Dragon Pulse","14.995","477.4","1609.8","3625"
"Tyrantrum","Dragon Tail","Outrage","15.032","447","1518.2","3128"
"Giratina (Origin Forme)","Dragon Tail","Dragon Pulse","13.777","577.5","1510.1","3683"
"Goodra","Dragon Breath","Draco Meteor","13.974","553.3","1509.9","3505"
"Zygarde (50% Forme)","Dragon Tail","Outrage","13.508","588.1","1449.7","3410"
"Alolan Exeggutor","Dragon Tail","Draco Meteor","15.134","407.6","1412.9","3014"
"Shadow Flygon","Dragon Tail","Dragon Claw","15.957","346.2","1406.5","2661"
"Duraludon","Dragon Tail","Dragon Claw","15.058","390.8","1334.5","3067"
"Shadow Kingdra","Dragon Breath","Outrage","15.355","363.8","1317","2641"
"Kommo-o","Dragon Tail","Dragon Claw","13.914","482.6","1300.2","3309"
"Drampa","Dragon Breath","Outrage","15.057","375.9","1283.2","2914"
"Guzzlord","Dragon Tail","Dragon Claw","12.917","464.9","1002","2887"
"Mega Altaria","Dragon Breath","Dragon Pulse","12.998","453.1","995","3163"
"Gyarados","Dragon Tail","Outrage","13.144","423.5","961.8","3391"
"Giratina (Altered Forme)","Dragon Breath","Dragon Claw","11.729","584.1","942.6","3379"
"Druddigon","Dragon Tail","Dragon Claw","13.64","348.5","884.4","2732"
"Shadow Charizard","Dragon Breath","Dragon Claw","14.02","306.4","844.2","2889"
"Flapple","Dragon Breath","Outrage","14.14","291.8","824.9","2466"
