"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Shadow Raikou","Thunder Shock","Wild Charge","19.513","526.1","3908.3","3452"
"Mega Manectric","Thunder Fang","Wild Charge","19.222","532.3","3780.4","3580"
"Xurkitree","Thunder Shock","Discharge","19.884","460.7","3622.1","3937"
"Shadow Electivire","Thunder Shock","Wild Charge","20.271","409","3406.4","3079"
"Shadow Zapdos","Thunder Shock","Thunderbolt","19.049","489.1","3381.2","3527"
"Zekrom","Charge Beam","Wild Charge","17.462","602.5","3207.8","4038"
"Shadow Magnezone","Spark","Wild Charge","18.939","450.6","3060.9","3205"
"Mega Ampharos","Volt Switch","Zap Cannon","16.492","609.3","2732.7","4245"
"Shadow Luxray","Spark","Wild Charge","18.971","384.6","2625.9","2888"
"Thundurus (Therian Forme)","Volt Switch","Thunderbolt","17.927","444.5","2560.9","3659"
"Raikou","Thunder Shock","Wild Charge","16.133","522","2191.8","3452"
"Zapdos","Thunder Shock","Thunderbolt","15.756","485.5","1899","3527"
"Electivire","Thunder Shock","Wild Charge","16.735","405.2","1898.8","3079"
"Shadow Manectric","Thunder Fang","Wild Charge","18.377","282.2","1751.2","2340"
"Magnezone","Spark","Wild Charge","15.677","447.6","1724.7","3205"
"Shadow Arcanine","Thunder Fang","Wild Charge","15.986","371.5","1517.5","3029"
"Luxray","Spark","Wild Charge","15.642","380.5","1456.3","2888"
"Tapu Koko","Volt Switch","Thunderbolt","15.202","386.7","1358.3","3168"
"Vikavolt","Spark","Discharge","15.388","367.6","1339.7","3117"
"Shadow Magneton","Thunder Shock","Discharge","16.403","265.3","1170.8","2485"
"Deoxys (Normal Forme)","Charge Beam","Thunderbolt","17.029","233.5","1153.1","3160"
"Alolan Golem","Volt Switch","Wild Charge","13.95","422.7","1147.6","2949"
"Toxtricity","Spark","Wild Charge","15.238","321.3","1136.8","2601"
"Thundurus  (Incarnate Forme)","Thunder Shock","Thunder","14.468","364.8","1104.8","3345"
"Jolteon","Thunder Shock","Thunderbolt","14.46","351.9","1064","2888"
"Shadow Ampharos","Volt Switch","Zap Cannon","14.546","343.6","1057.7","2852"
"Manectric","Thunder Fang","Wild Charge","15.139","279","968","2340"
"Shadow Electabuzz","Thunder Shock","Thunderbolt","15.268","271.9","967.7","2334"
"Shadow Porygon-Z","Hidden Power (Electric)","Zap Cannon","14.688","298.5","946","3266"
"Regieleki","Thunder Shock","Zap Cannon","14.757","293.9","944.5","2803"
"Zebstrika","Spark","Wild Charge","14.467","297.1","899.6","2428"
"Eelektross","Spark","Thunderbolt","13.761","339.7","885.1","2732"
"Regigigas","Hidden Power (Electric)","Thunder","12.389","456.5","868.2","4346"
"Arcanine","Thunder Fang","Wild Charge","13.198","368","846.1","3029"
"Melmetal","Thunder Shock","Thunderbolt","12.001","476.3","823.2","3599"
"Heliolisk","Volt Switch","Thunderbolt","13.447","295.4","718.5","2600"
"Alolan Raichu","Thunder Shock","Wild Charge","13.746","274.1","711.8","2286"
"Mew","Volt Switch","Wild Charge","11.654","436.7","691.2","3265"
"Magneton","Thunder Shock","Discharge","13.563","263.3","656.9","2485"
"Rotom Frost","Thunder Shock","Thunderbolt","12.689","313.2","639.9","2579"
"Rotom Heat","Thunder Shock","Thunderbolt","12.689","313.2","639.9","2579"
"Rotom Mow","Thunder Shock","Thunderbolt","12.689","313.2","639.9","2579"
"Rotom Wash","Thunder Shock","Thunderbolt","12.689","313.2","639.9","2579"
"Ampharos","Volt Switch","Zap Cannon","12.149","344.4","617.6","2852"
"Dracozolt","Thunder Shock","Discharge","12.173","337.6","609","2621"
"Raichu","Thunder Shock","Wild Charge","13.273","259.9","607.8","2182"
"Togedemaru","Thunder Shock","Wild Charge","13.156","260","592.1","2160"
"Shadow Electrode","Spark","Thunderbolt","13.313","246.1","580.6","2099"
"Arctozolt","Thunder Shock","Discharge","11.889","331.5","557.2","2566"
"Porygon-Z","Hidden Power (Electric)","Zap Cannon","12.255","298.9","550.2","3266"
"Electabuzz","Thunder Shock","Thunderbolt","12.646","270.3","546.6","2334"
"Morpeko","Thunder Shock","Wild Charge","13.395","209.9","504.4","1942"
"Hisuian Electrode","Thunder Shock","Wild Charge","12.12","273.1","486.2","2149"
"Galvantula","Volt Switch","Discharge","12.412","230.3","440.5","2206"
"Shadow Luxio","Spark","Wild Charge","13.96","151","410.7","1486"
"Deoxys (Speed Forme)","Charge Beam","Thunderbolt","11.308","277.9","401.8","2879"
"Shadow Porygon2","Hidden Power (Electric)","Zap Cannon","11.253","270.3","385.2","2711"
"Rotom","Thunder Shock","Thunderbolt","11.811","216.8","357.1","2031"
"Electrode","Spark","Thunderbolt","11.045","245","330.1","2099"
