"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Mega Gardevoir","Charm","Dazzling Gleam","19.833","679.7","5303.1","4512"
"Shadow Gardevoir","Charm","Dazzling Gleam","18.027","402.8","2359.8","3093"
"Shadow Granbull","Charm","Play Rough","17.069","319.9","1591","2552"
"Togekiss","Charm","Dazzling Gleam","14.2","486.9","1394.1","3332"
"Gardevoir","Charm","Dazzling Gleam","14.901","399.6","1322.2","3093"
"Hatterene","Charm","Dazzling Gleam","14.879","333.6","1098.8","2829"
"Sylveon","Charm","Dazzling Gleam","12.992","458.2","1004.8","3069"
"Primarina","Charm","Moonblast","13.384","399.9","958.7","3200"
"Granbull","Charm","Play Rough","14.025","315.5","870.3","2552"
"Alcremie","Charm","Dazzling Gleam","12.883","346.9","741.8","2682"
"Beartic","Charm","Play Rough","12.674","339.3","690.7","3042"
"Donphan","Charm","Play Rough","11.558","356.1","549.8","3013"
"Clefable","Charm","Dazzling Gleam","11.696","331.9","531","2437"
"Alolan Ninetales","Charm","Dazzling Gleam","11.031","305.7","410.4","2309"
"Mimikyu","Charm","Play Rough","11.436","273.4","409","2225"
"Slurpuff","Charm","Play Rough","11.154","286.6","397.7","2199"
"Galarian Rapidash","Fairy Wind","Play Rough","11.486","251.1","380.6","2461"
"Wigglytuff","Charm","Play Rough","11.179","252.5","352.8","1926"
"Shadow Liepard","Charm","Play Rough","12.782","158.3","330.6","1846"
"Aromatisse","Charm","Moonblast","10.403","287.1","323.3","2341"
"Ribombee","Fairy Wind","Dazzling Gleam","11.138","211.6","292.3","2200"
"Mega Mawile","Fairy Wind","Play Rough","10.148","273.2","285.5","2380"
"Tsareena","Charm","Draining Kiss","10.011","278.7","279.6","2964"
"Florges","Fairy Wind","Moonblast","9.274","335","267.2","3234"
"Galarian Weezing","Fairy Wind","Play Rough","9.684","253.6","230.3","2293"
"Whimsicott","Charm","Moonblast","9.672","217.9","197.2","2014"
"Shadow Mawile","Fairy Wind","Play Rough","10.748","147.4","183","1634"
"Liepard","Charm","Play Rough","10.508","156.2","181.2","1846"
"Mawile","Fairy Wind","Play Rough","8.858","145.8","101.3","1634"
"Hattrem","Charm","Dazzling Gleam","8.523","143.6","88.9","1634"
"Delcatty","Charm","Play Rough","7.644","140.9","62.9","1496"
"Brionne","Charm","Disarming Voice","7.518","141.9","60.3","1885"
"Shadow Jumpluff","Fairy Wind","Dazzling Gleam","7.13","160","58","1636"
"Cubchoo","Charm","Play Rough","7.685","76.4","34.7","1069"
"Spritzee","Charm","Draining Kiss","6.588","117.6","33.6","1252"
"Jumpluff","Fairy Wind","Dazzling Gleam","5.895","158.8","32.5","1636"
"Milcery","Charm","Dazzling Gleam","6.519","72.5","20.1","829"
"Cutiefly","Fairy Wind","Dazzling Gleam","6.845","61.6","19.7","888"
"Pikachu Libre","Charm","Play Rough","6.56","63.7","18","938"
"Pop Star Pikachu","Charm","Play Rough","6.56","63.7","18","938"
"Rock Star Pikachu","Charm","Play Rough","6.56","63.7","18","938"
"Hatenna","Charm","Dazzling Gleam","5.869","60.7","12.3","861"
"Steenee","Charm","Draining Kiss","4.183","49.4","3.6","757"
"Bounsweet","Charm","Draining Kiss","3.238","26","0.9","470"
