"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Mega Lucario","Counter","Aura Sphere","23.474","636.7","8235.1","3826"
"Mega Heracross","Counter","Close Combat","19.732","734.9","5646.3","4814"
"Mega Blaziken","Counter","Focus Blast","20.565","588.9","5121.9","4161"
"Terrakion","Double Kick","Sacred Sword","19.461","626.2","4615.8","3698"
"Shadow Machamp","Counter","Dynamic Punch","19.65","439","3330.3","3056"
"Mega Alakazam","Counter","Focus Blast","18.763","479.6","3168.1","4366"
"Mega Gallade","Low Kick","Close Combat","17.244","593.4","3043","4521"
"Urshifu (Rapid Strike Style)","Counter","Dynamic Punch","17.406","556.6","2935.3","3606"
"Urshifu (Single Strike Style)","Counter","Dynamic Punch","17.406","556.6","2935.3","3606"
"Shadow Hariyama","Counter","Dynamic Punch","18.536","438.3","2791.5","2829"
"Mega Lopunny","Double Kick","Focus Blast","17.022","529.7","2612.2","3745"
"Lucario","Counter","Aura Sphere","18.621","384.2","2480.6","2703"
"Conkeldurr","Counter","Dynamic Punch","16.852","501.7","2401.1","3337"
"Machamp","Counter","Dynamic Punch","16.211","434.6","1851.5","3056"
"Galarian Zapdos","Counter","Close Combat","15.341","482.1","1740.6","3548"
"Cobalion","Double Kick","Sacred Sword","14.598","553.7","1722.5","3022"
"Virizion","Double Kick","Sacred Sword","14.598","553.7","1722.5","3022"
"Buzzwole","Counter","Superpower","14.992","509.5","1716.8","3469"
"Meloetta (Pirouette Forme)","Low Kick","Close Combat","14.781","499.7","1613.7","3915"
"Hariyama","Counter","Dynamic Punch","15.19","431.1","1511","2829"
"Hawlucha","Low Kick","Flying Press","15.865","371.8","1484.6","2410"
"Pheromosa","Low Kick","Focus Blast","18.201","238.7","1439.4","2842"
"Breloom","Counter","Dynamic Punch","16.572","310.9","1414.7","2628"
"Mega Pinsir","Rock Smash","Superpower","14.273","477.1","1387.2","4182"
"Shadow Alakazam","Counter","Focus Blast","16.874","285.9","1373.9","3057"
"Keldeo","Low Kick","Close Combat","14.273","459.3","1335.5","3698"
"Shadow Gallade","Low Kick","Close Combat","15.486","346","1285.1","3093"
"Blaziken","Counter","Focus Blast","15.412","342","1252.2","2848"
"Passimian","Counter","Superpower","14.347","418.2","1234.8","3033"
"Regigigas","Hidden Power (Fighting)","Focus Blast","13.467","496.3","1212.1","4346"
"Heracross","Counter","Close Combat","14.298","394.6","1153.4","3101"
"Sirfetch'd","Counter","Close Combat","14.925","342.2","1137.9","2985"
"Bewear","Low Kick","Superpower","13.899","413.8","1111","3117"
"Toxicroak","Counter","Dynamic Punch","14.9","321.4","1063","2488"
"Emboar","Low Kick","Focus Blast","14.23","360.4","1038.4","2982"
"Shadow Poliwrath","Rock Smash","Dynamic Punch","14.19","362.5","1035.9","2586"
"Mega Medicham","Counter","Dynamic Punch","14.059","353.9","983.5","2495"
"Shadow Ursaring","Counter","Close Combat","14.633","298.7","935.9","2945"
"Sneasler","Rock Smash","Close Combat","13.87","341.4","910.9","3222"
"Shadow Hitmonlee","Double Kick","Close Combat","15.117","260.5","899.8","2576"
"Shadow Machoke","Karate Chop","Dynamic Punch","15.231","252.8","893.3","2031"
"Alakazam","Counter","Focus Blast","14.151","287.8","815.4","3057"
"Sawk","Low Kick","Focus Blast","13.663","312.2","796.2","2788"
"Shadow Pinsir","Rock Smash","Superpower","13.954","283","768.9","2959"
"Gallade","Low Kick","Close Combat","12.98","348.1","761.1","3093"
"Shadow Hitmonchan","Counter","Close Combat","14.064","262.1","729.1","2332"
"Shadow Magmortar","Karate Chop","Brick Break","13.57","287.6","718.8","3132"
"Chesnaught","Low Kick","Superpower","12.116","403.3","717.2","2954"
"Crabominable","Rock Smash","Power-Up Punch","13.017","323.4","713.4","2907"
"Mega Kangaskhan","Low Kick","Power-Up Punch","11.34","483","704.3","3850"
"Pangoro","Low Kick","Close Combat","12.725","328.4","676.8","2902"
"Mienshao","Low Kick","Brick Break","13.816","242.3","639.1","2710"
"Grapploct","Rock Smash","Superpower","12.405","312.4","596.4","2664"
"Poliwrath","Rock Smash","Dynamic Punch","11.697","358.6","573.9","2586"
"Falinks","Counter","Superpower","12.483","285.3","554.8","2357"
"Ursaring","Counter","Close Combat","12.205","299","543.5","2945"
"Hitmonlee","Double Kick","Close Combat","12.679","262.1","534.2","2576"
"Primeape","Counter","Close Combat","12.74","240.8","497.9","2288"
"Machoke","Karate Chop","Dynamic Punch","12.548","249.9","493.8","2031"
"Infernape","Rock Smash","Close Combat","12.026","274.3","477.1","2683"
"Throh","Low Kick","Focus Blast","10.779","360","450.9","2562"
"Hitmonchan","Counter","Close Combat","11.798","263.8","433.3","2332"
