"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Mega Charizard Y","Fire Spin","Blast Burn","21.764","758","7814.8","4455"
"Mega Blaziken","Fire Spin","Blast Burn","22.715","650.5","7624.4","4161"
"Mega Charizard X","Fire Spin","Blast Burn","18.807","657.9","4376.4","3850"
"Shadow Entei","Fire Fang","Overheat","19.076","545.8","3789.2","3473"
"Shadow Ho-Oh","Incinerate","Sacred Fire+","18.12","621.5","3698","3863"
"Reshiram","Fire Fang","Overheat","18.075","623.7","3683","4038"
"Shadow Moltres","Fire Spin","Overheat","19.532","491.5","3662.5","3465"
"Mega Houndoom","Fire Fang","Flamethrower","17.958","561.6","3252.2","3842"
"Shadow Charizard","Fire Spin","Blast Burn","19.253","420.7","3002.5","2889"
"Ho-Oh","Incinerate","Sacred Fire++","16.123","663.6","2781.5","3863"
"Mega Salamence","Fire Fang","Fire Blast","15.568","730.2","2754.9","5031"
"Shadow Typhlosion","Incinerate","Blast Burn","18.752","409.8","2701.9","2889"
"Darmanitan (Zen Mode)","Fire Fang","Overheat","16.241","606.6","2598.5","3738"
"Volcarona","Fire Spin","Overheat","16.993","512.4","2514.7","3632"
"Shadow Arcanine","Fire Fang","Flamethrower","17.657","410.3","2258.5","3029"
"Darmanitan","Fire Fang","Overheat","17.742","393.9","2199.9","3105"
"Entei","Fire Fang","Overheat","15.873","545","2179.5","3473"
"Moltres","Fire Spin","Overheat","16.273","491.4","2117.7","3465"
"Shadow Magmortar","Fire Spin","Fire Punch","17.771","376.7","2113.9","3132"
"Heatran","Fire Spin","Flamethrower","15.492","549.1","2041.5","3754"
"Shadow Salamence","Fire Fang","Fire Blast","16.92","413.6","2003.5","3749"
"Chandelure","Fire Spin","Overheat","17.129","398.1","2000.5","3268"
"Blaziken","Fire Spin","Blast Burn","17.247","382.8","1963.5","2848"
"Volcanion","Incinerate","Overheat","15.525","510.2","1908.9","3628"
"Emboar","Ember","Blast Burn","16.547","419.1","1898.5","2982"
"Shadow Houndoom","Fire Fang","Flamethrower","17.521","315.8","1698.6","2635"
"Charizard","Fire Spin","Blast Burn","15.875","416.3","1665.4","2889"
"Mega Camerupt","Incinerate","Overheat","15.484","437.6","1624.6","3220"
"Typhlosion","Incinerate","Blast Burn","15.451","405.2","1494.5","2889"
"Infernape","Fire Spin","Blast Burn","15.944","363.7","1474","2683"
"Flareon","Fire Spin","Overheat","15.724","376.8","1465","3029"
"Hisuian Arcanine","Fire Fang","Flamethrower","14.929","430.8","1433.4","3145"
"Arcanine","Fire Fang","Flamethrower","14.614","407.5","1272","3029"
"Solgaleo","Fire Spin","Flamethrower","13.303","528.7","1244.7","4035"
"Pyroar","Fire Fang","Overheat","14.862","363.7","1193.7","2767"
"Magmortar","Fire Spin","Fire Punch","14.696","373.8","1186.6","3132"
"Delphox","Fire Spin","Flamethrower","14.324","397.5","1168.1","3059"
"Salamence","Fire Fang","Fire Blast","14.124","414.3","1167.4","3749"
"Incineroar","Fire Fang","Fire Blast","13.309","405.4","955.6","2996"
"Houndoom","Fire Fang","Flamethrower","14.493","313.4","954.1","2635"
"Cinderace","Ember","Flamethrower","13.903","352.1","946.2","3018"
"Shadow Ninetales","Fire Spin","Weather Ball Fire","14.2","323.2","925.6","2279"
"Shadow Magmar","Ember","Flamethrower","14.711","255.9","814.9","2394"
"Shadow Camerupt","Incinerate","Overheat","14.533","237.3","728.4","2193"
"Heatmor","Fire Spin","Flamethrower","13.163","280.2","639","2395"
"Simisear","Fire Spin","Flamethrower","13.207","265.9","612.5","2350"
"Salazzle","Incinerate","Fire Blast","12.979","240.3","525.4","2479"
