"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Mega Rayquaza","Air Slash","Hurricane","19.241","710","5057.7","5066"
"Shadow Moltres","Wing Attack","Sky Attack","20.564","517.4","4499.4","3465"
"Mega Pidgeot","Gust","Brave Bird","18.617","567","3658.6","3680"
"Shadow Ho-Oh","Hidden Power (Flying)","Brave Bird","17.722","607.9","3383.4","3863"
"Shadow Honchkrow","Peck","Sky Attack","20.554","336.6","2922.9","2711"
"Shadow Staraptor","Gust","Brave Bird","19.113","364.9","2547.7","2825"
"Moltres","Wing Attack","Sky Attack","16.969","512.4","2503.9","3465"
"Ho-Oh","Hidden Power (Flying)","Brave Bird","14.743","606.8","1944.6","3863"
"Rayquaza","Air Slash","Hurricane","15.764","461.4","1807.4","3835"
"Yveltal","Gust","Hurricane","14.826","537.1","1750.1","3781"
"Honchkrow","Peck","Sky Attack","16.767","329.5","1553.3","2711"
"Staraptor","Gust","Brave Bird","15.882","363.9","1457.8","2825"
"Braviary","Air Slash","Brave Bird","15.027","418","1418.3","3088"
"Galarian Moltres","Wing Attack","Brave Bird","13.62","516.2","1304","3167"
"Unfezant","Air Slash","Sky Attack","15.108","346","1193.2","2734"
"Tornadus (Incarnate Forme)","Air Slash","Hurricane","14.734","371.6","1188.5","3345"
"Tornadus (Therian Forme)","Gust","Hurricane","13.969","401.5","1094.3","3215"
"Hisuian Braviary","Air Slash","Brave Bird","14.049","380.9","1056.2","2814"
"Shadow Scyther","Air Slash","Aerial Ace","14.604","292.2","910","2706"
"Kartana","Air Slash","Aerial Ace","14.398","303.1","904.7","3677"
"Toucannon","Peck","Drill Peck","14.014","321","883.4","2689"
"Hawlucha","Wing Attack","Sky Attack","13.602","318.7","802.1","2410"
"Togekiss","Air Slash","Aerial Ace","12.301","421.8","785.1","3332"
"Mega Altaria","Peck","Sky Attack","11.972","417.4","716.1","3163"
"Yanmega","Wing Attack","Aerial Ace","12.868","328.3","699.6","2946"
"Shadow Gliscor","Wing Attack","Aerial Ace","12.422","333.7","639.6","2692"
"Shadow Skarmory","Air Slash","Sky Attack","12.037","298.6","520.8","2108"
"Noivern","Air Slash","Hurricane","11.638","326.8","515.1","2764"
"Scyther","Air Slash","Aerial Ace","12.073","289.8","510","2706"
"Shadow Crobat","Air Slash","Air Cutter","12.097","287.6","509.2","2646"
"Cramorant","Peck","Fly","12.047","278.3","486.5","2142"
"Swellow","Wing Attack","Sky Attack","13.058","214.1","476.7","1920"
"Corviknight","Air Slash","Brave Bird","10.825","367","465.5","2457"
"Pidgeot","Gust","Brave Bird","11.572","285","441.7","2129"
"Shadow Murkrow","Peck","Drill Peck","14.464","145","438.9","1562"
"Fearow","Peck","Sky Attack","12.36","226","426.6","1997"
"Shadow Swanna","Air Slash","Hurricane","12.546","209","412.8","2088"
"Chatot","Peck","Sky Attack","12.968","188.9","412","1791"
"Talonflame","Peck","Brave Bird","11.469","272","410.2","2205"
"Gliscor","Wing Attack","Aerial Ace","10.317","332.6","365.2","2692"
"Noctowl","Wing Attack","Sky Attack","10.542","300.2","351.7","2024"
"Oricorio (Baile Style)","Air Slash","Hurricane","11.156","242.8","337.1","2333"
"Oricorio (Pa'u Style)","Air Slash","Hurricane","11.156","242.8","337.1","2333"
"Oricorio (Pom-Pom Style)","Air Slash","Hurricane","11.156","242.8","337.1","2333"
"Oricorio (Sensu Style)","Air Slash","Hurricane","11.156","242.8","337.1","2333"
"Skarmory","Air Slash","Sky Attack","9.982","297.2","295.6","2108"
"Sigilyph","Air Slash","Air Cutter","10.508","253.5","294.1","2550"
"Crobat","Air Slash","Air Cutter","10.046","286.6","290.6","2646"
"Xatu","Air Slash","Aerial Ace","10.844","215.7","275","2188"
"Altaria","Peck","Sky Attack","9.643","283.3","254","2004"
"Swanna","Air Slash","Hurricane","10.463","209.2","239.6","2088"
"Pelipper","Wing Attack","Hurricane","10.143","226.2","236","2127"
"Murkrow","Peck","Drill Peck","11.797","142","233.1","1562"
"Vivillon","Gust","Hurricane","10.713","179.8","221.1","1855"
"Masquerain","Air Slash","Air Cutter","9.988","213.9","213.1","2270"
"Shadow Golbat","Wing Attack","Air Cutter","10.23","191.3","204.8","1976"
"Shadow Gligar","Wing Attack","Aerial Ace","9.982","204.5","203.4","1857"
"Mothim","Air Slash","Aerial Ace","10.815","158.6","200.6","1815"
"Trumbeak","Peck","Sky Attack","11.143","143.2","198.1","1478"
"Shadow Staravia","Wing Attack","Brave Bird","11.739","119.1","192.7","1299"
"Rufflet","Wing Attack","Brave Bird","10.568","153.6","181.3","1491"
"Dartrix","Peck","Brave Bird","9.539","204.9","177.8","1725"
"Tranquill","Air Slash","Sky Attack","10.246","150.1","161.4","1442"
