"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Mega Gengar","Lick","Shadow Ball","23.173","643.5","8008.2","4336"
"Mega Banette","Shadow Claw","Shadow Ball","21.084","498.5","4672.3","3594"
"Giratina (Origin Forme)","Shadow Claw","Shadow Force","16.498","691.5","3104.9","3683"
"Dragapult","Hex","Shadow Ball","17.804","500.6","2825.1","3532"
"Chandelure","Hex","Shadow Ball","17.813","414","2339.9","3268"
"Gengar","Lick","Shadow Ball","18.109","350.4","2080.9","2878"
"Hoopa (Confined)","Astonish","Shadow Ball","16.656","439","2028.5","3359"
"Hoopa (Unbound)","Astonish","Shadow Ball","16.378","440.2","1933.8","4006"
"Giratina (Altered Forme)","Shadow Claw","Shadow Force","13.885","691.5","1851.3","3379"
"Shadow Banette","Shadow Claw","Shadow Ball","18.835","271.8","1816.5","2298"
"Cursola","Hex","Shadow Ball","16.71","388.4","1812.2","3063"
"Polteageist","Hex","Shadow Ball","16.372","394","1729","3058"
"Dhelmise","Shadow Claw","Shadow Ball","16.137","406.3","1707","2950"
"Shadow Mismagius","Hex","Shadow Ball","17.072","339","1686.9","2615"
"Trevenant","Shadow Claw","Shadow Ball","14.329","358","1053.2","2559"
"Banette","Shadow Claw","Shadow Ball","15.513","268.7","1002.9","2298"
"Mismagius","Hex","Shadow Ball","14.118","336.4","946.6","2615"
"Drifblim","Hex","Shadow Ball","13.258","352","820.2","2382"
"Haunter","Lick","Shadow Ball","15.877","192.2","769.4","1963"
"Gourgeist - Super Size","Hex","Shadow Ball","12.428","395","758.1","2633"
"Gourgeist - Large Size","Hex","Shadow Ball","12.181","366.2","661.8","2521"
"Reuniclus","Hidden Power (Ghost)","Shadow Ball","12.036","349.9","610","2927"
"Mimikyu","Shadow Claw","Shadow Ball","12.457","297.8","575.7","2225"
"Palossand","Astonish","Shadow Ball","11.853","338.2","563.2","2444"
"Gourgeist - Average Size","Hex","Shadow Ball","11.866","334.2","558.3","2390"
"Dusknoir","Hex","Shadow Ball","11.959","319.3","546.1","2388"
"Cofagrigus","Shadow Claw","Shadow Ball","11.505","334","508.7","2273"
"Runerigus","Shadow Claw","Shadow Ball","11.505","334","508.7","2273"
"Jellicent","Hex","Shadow Ball","11.143","358.2","495.6","2338"
"Gourgeist - Small Size","Hex","Shadow Ball","11.552","302","465.6","2254"
"Galarian Slowking","Hex","Shadow Ball","10.921","341.4","444.7","2717"
"Froslass","Hex","Shadow Ball","11.885","254.5","427.3","2040"
"Shadow Alolan Marowak","Hex","Shadow Ball","12.101","239.1","423.8","1835"
"Golurk","Astonish","Shadow Punch","10.882","280.8","361.8","2854"
"Lickilicky","Lick","Shadow Ball","9.927","347","339.4","2467"
"Shadow Dusknoir","Hex","Ominous Wind","11.051","245.8","331.7","2388"
"Drakloak","Astonish","Shadow Ball","11.336","173.7","253","1651"
"Alolan Marowak","Hex","Shadow Ball","10.022","237.7","239.2","1835"
"Chimecho","Astonish","Shadow Ball","9.771","245.9","229.4","2259"
"Shadow Misdreavus","Hex","Ominous Wind","10.681","177.5","216.2","1926"
"Decidueye","Astonish","Shadow Sneak","9.21","249.2","194.7","2775"
"Rotom","Astonish","Ominous Wind","9.298","170.7","137.2","2031"
"Misdreavus","Hex","Ominous Wind","8.842","176.3","121.9","1926"
"Rotom Fan","Astonish","Ominous Wind","8.37","206.6","121.1","2579"
"Rotom Mow","Astonish","Ominous Wind","8.37","206.6","121.1","2579"
"Mega Sableye","Shadow Claw","Shadow Sneak","7.856","210.6","102.1","1942"
"Drifloon","Hex","Shadow Ball","9.1","133.2","100.4","1197"
"Duosion","Hidden Power (Ghost)","Night Shade","8.883","129.5","90.8","2018"
"Gastly","Lick","Ominous Wind","10.732","71.5","88.3","1229"
"Shadow Sableye","Shadow Claw","Shadow Sneak","8.949","118.8","85.1","1476"
"Sinistea","Astonish","Shadow Ball","9.308","96.8","78","1139"
"Sandygast","Astonish","Shadow Ball","8.488","126.1","77.1","1233"
"Shadow Dusclops","Hex","Shadow Punch","7.88","153.2","74.9","1591"
"Phantump","Astonish","Shadow Ball","8.758","100.4","67.4","1123"
"Shadow Shuppet","Astonish","Ominous Wind","9.4","61.8","51.3","1018"
"Sableye","Shadow Claw","Shadow Sneak","7.486","119.2","50","1476"
"Kecleon","Lick","Shadow Sneak","6.734","162.1","49.5","2047"
"Dusclops","Hex","Shadow Punch","6.58","153.5","43.7","1591"
"Yamask","Astonish","Shadow Ball","6.769","96","29.8","982"
"Solosis","Hidden Power (Ghost)","Night Shade","7.391","71.9","29","1367"
"Frillish","Hex","Ominous Wind","6.441","107.2","28.6","1257"
"Golett","Astonish","Shadow Punch","6.875","85.8","27.9","1189"
"Shuppet","Astonish","Ominous Wind","7.69","60.6","27.6","1018"
"Pumpkaboo - Large Size","Astonish","Shadow Sneak","5.721","86.5","16.2","1244"
"Pumpkaboo - Super Size","Astonish","Shadow Sneak","5.659","89.1","16.1","1250"
"Snorunt","Hex","Shadow Ball","6.097","70.7","16","888"
"Pumpkaboo - Average Size","Astonish","Shadow Sneak","5.744","82.5","15.6","1222"
"Pumpkaboo - Small Size","Astonish","Shadow Sneak","5.767","79","15.2","1202"
"Galarian Yamask","Astonish","Night Shade","4.986","70.7","8.8","982"
"Shadow Duskull","Hex","Ominous Wind","4.996","51.1","6.4","706"
"Duskull","Hex","Ominous Wind","4.187","51.4","3.8","706"
"Shedinja","Shadow Claw","Shadow Sneak","7.116","7","2.5","393"
