"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Mega Sceptile","Bullet Seed","Frenzy Plant","21.305","611.3","5911.4","4056"
"Mega Venusaur","Vine Whip","Frenzy Plant","17.294","706.4","3653.6","3698"
"Kartana","Razor Leaf","Leaf Blade","20.374","428.9","3627.7","3677"
"Zarude","Vine Whip","Power Whip","16.498","653.1","2932.7","3833"
"Shadow Tangrowth","Vine Whip","Power Whip","17.47","482.5","2572.8","3030"
"Shadow Torterra","Razor Leaf","Frenzy Plant","17.401","471.9","2486.4","2934"
"Shadow Venusaur","Vine Whip","Frenzy Plant","17.869","432.2","2465.8","2720"
"Shaymin (Sky Forme)","Hidden Power (Grass)","Grass Knot","16.767","505.5","2382.7","3592"
"Rillaboom","Razor Leaf","Grass Knot","15.87","483.7","1933.6","3324"
"Shadow Exeggutor","Bullet Seed","Solar Beam","16.807","368.2","1748.3","3014"
"Tapu Bulu","Bullet Seed","Grass Knot","15.488","462.3","1717.5","3419"
"Shadow Alolan Exeggutor","Bullet Seed","Solar Beam","16.597","372.5","1702.9","3014"
"Shadow Victreebel","Razor Leaf","Leaf Blade","17.033","302.9","1496.8","2431"
"Tsareena","Magical Leaf","Grass Knot","15.196","423","1484.3","2964"
"Shadow Ho-Oh","Hidden Power (Grass)","Solar Beam","14.391","493.6","1471.3","3863"
"Roserade","Razor Leaf","Grass Knot","15.782","372.4","1463.8","2971"
"Tangrowth","Vine Whip","Power Whip","14.452","479","1446","3030"
"Shadow Meganium","Vine Whip","Frenzy Plant","15.357","395.1","1430.7","2410"
"Celebi","Magical Leaf","Leaf Storm","13.967","523.4","1426","3265"
"Venusaur","Vine Whip","Frenzy Plant","14.782","429","1385.6","2720"
"Shadow Shiftry","Razor Leaf","Leaf Blade","16.768","292.8","1380.2","2333"
"Torterra","Razor Leaf","Frenzy Plant","14.33","466.3","1372.1","2934"
"Sceptile","Bullet Seed","Frenzy Plant","15.434","368.5","1355","2757"
"Shadow Porygon-Z","Hidden Power (Grass)","Solar Beam","15.833","321.8","1277.1","3266"
"Shaymin (Land Forme)","Hidden Power (Grass)","Grass Knot","13.495","505.7","1242.7","3265"
"Mega Abomasnow","Razor Leaf","Energy Ball","13.503","471.4","1160.4","3405"
"Shadow Vileplume","Razor Leaf","Solar Beam","15.376","317.2","1153.1","2559"
"Gogoat","Vine Whip","Leaf Blade","13.739","429.8","1114.7","2798"
"Shadow Tangela","Vine Whip","Grass Knot","15.544","294.4","1105.8","2238"
"Chesnaught","Vine Whip","Solar Beam","13.497","449.2","1104.4","2954"
"Leafeon","Razor Leaf","Leaf Blade","13.939","402.9","1091.3","2944"
"Breloom","Bullet Seed","Grass Knot","15.331","287.6","1036.3","2628"
"Exeggutor","Bullet Seed","Solar Beam","13.994","367.9","1008.1","3014"
"Alolan Exeggutor","Bullet Seed","Solar Beam","13.82","372.2","982.5","3014"
"Simisage","Vine Whip","Grass Knot","14.606","294","916.3","2350"
"Ho-Oh","Hidden Power (Grass)","Solar Beam","11.995","493.7","852.2","3863"
"Leavanny","Razor Leaf","Leaf Blade","13.592","332.8","835.7","2580"
"Victreebel","Razor Leaf","Leaf Blade","13.968","298.1","812.3","2431"
"Meganium","Vine Whip","Frenzy Plant","12.729","393","810.4","2410"
"Shadow Bellossom","Razor Leaf","Leaf Blade","13.727","312.8","809","2281"
"Shiftry","Razor Leaf","Leaf Blade","13.719","287.4","742.2","2333"
"Porygon-Z","Hidden Power (Grass)","Solar Beam","13.187","321.6","737.5","3266"
"Vileplume","Razor Leaf","Solar Beam","12.829","317.6","670.5","2559"
"Serperior","Vine Whip","Frenzy Plant","12.238","364.5","668.2","2277"
"Carnivine","Vine Whip","Power Whip","13.371","271.8","649.7","2159"
"Lurantis","Razor Leaf","Leaf Blade","12.77","304.9","634.9","2398"
"Tangela","Vine Whip","Grass Knot","12.884","292.8","626.3","2238"
"Lilligant","Hidden Power (Grass)","Solar Beam","12.816","282.7","595.2","2550"
"Shadow Cradily","Bullet Seed","Grass Knot","12.155","315.9","567.3","2211"
"Decidueye","Razor Leaf","Energy Ball","12.013","325.1","563.6","2775"
"Shadow Abomasnow","Razor Leaf","Energy Ball","12.615","280.2","562.4","2362"
"Shadow Weepinbell","Razor Leaf","Power Whip","14.937","164.5","548.2","1611"
"Shadow Porygon2","Hidden Power (Grass)","Solar Beam","12.106","290.8","515.9","2711"
"Florges","Vine Whip","Petal Blizzard","10.85","392","500.7","3234"
"Shadow Ivysaur","Vine Whip","Power Whip","13.25","205.8","478.8","1699"
"Gourgeist - Super Size","Razor Leaf","Seed Bomb","11.044","351","472.7","2633"
"Bellossom","Razor Leaf","Leaf Blade","11.328","309.7","450.2","2281"
"Flapple","Bullet Seed","Seed Bomb","12.123","250.1","445.6","2466"
"Ludicolo","Razor Leaf","Leaf Storm","11.197","304.2","427.1","2323"
"Gourgeist - Large Size","Razor Leaf","Seed Bomb","10.847","326.1","416.1","2521"
"Maractus","Bullet Seed","Solar Beam","12.046","237.6","415.3","2274"
"Sunflora","Razor Leaf","Leaf Storm","11.93","243.4","413.3","2141"
"Shadow Grotle","Razor Leaf","Solar Beam","12.311","220.5","411.4","1890"
"Ferrothorn","Bullet Seed","Power Whip","10.262","328.8","355.3","2321"
"Gourgeist - Average Size","Razor Leaf","Seed Bomb","10.592","298.3","354.5","2390"
"Whimsicott","Razor Leaf","Grass Knot","11.104","250.2","342.6","2014"
"Appletun","Bullet Seed","Seed Bomb","10.373","297.9","332.5","2452"
"Thwackey","Razor Leaf","Grass Knot","11.434","221.1","330.5","1876"
"Cradily","Bullet Seed","Grass Knot","10.044","313.2","317.4","2211"
"Abomasnow","Razor Leaf","Energy Ball","10.445","278.4","317.2","2362"
"Cherrim (Overcast Form)","Razor Leaf","Solar Beam","10.965","239.1","315.2","2048"
"Cherrim (Sunshine Form)","Razor Leaf","Solar Beam","10.965","239.1","315.2","2048"
"Porygon2","Hidden Power (Grass)","Solar Beam","10.098","291.1","299.8","2711"
"Gourgeist - Small Size","Razor Leaf","Seed Bomb","10.341","270.4","299","2254"
"Weepinbell","Razor Leaf","Power Whip","12.228","161.6","295.5","1611"
"Eldegoss","Razor Leaf","Grass Knot","10.045","267.8","271.4","1995"
"Ivysaur","Vine Whip","Power Whip","10.982","204.7","271.1","1699"
"Grotle","Razor Leaf","Solar Beam","10.28","220.9","240","1890"
"Tropius","Razor Leaf","Leaf Blade","9.503","279.4","239.7","1941"
