"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Mega Garchomp","Mud Shot","Earth Power","19.778","908.9","7031.1","5424"
"Primal Groudon","Mud Shot","Earthquake","18.485","750.7","4741.2","5227"
"Mega Swampert","Mud Shot","Earthquake","16.087","686.7","2858.7","4401"
"Garchomp","Mud Shot","Earth Power","15.76","577.8","2262","3962"
"Landorus (Therian Forme)","Mud Shot","Earthquake","16.398","485.7","2141.5","3922"
"Groudon","Mud Shot","Earthquake","15.356","569.7","2062.8","4115"
"Shadow Mamoswine","Mud Slap","Bulldoze","16.925","405","1963.5","3328"
"Rhyperior","Mud Slap","Earthquake","14.919","564.6","1874.6","3733"
"Landorus (Incarnate Forme)","Mud Shot","Earth Power","15.75","473.7","1850.7","3588"
"Excadrill","Mud Slap","Drill Run","15.954","409.7","1663.8","3244"
"Shadow Golem","Mud Slap","Earthquake","15.588","393.6","1491.1","2949"
"Shadow Swampert","Mud Shot","Earthquake","14.667","386.8","1220.5","2974"
"Shadow Flygon","Mud Shot","Earth Power","15.356","333.2","1206.5","2661"
"Rhydon","Mud Slap","Earthquake","13.817","442.3","1166.7","3179"
"Shadow Ho-Oh","Hidden Power (Ground)","Earthquake","13.507","463.3","1141.8","3863"
"Krookodile","Mud Slap","Earthquake","14.178","393.2","1120.7","3046"
"Mamoswine","Mud Slap","Bulldoze","13.983","401.5","1097.9","3328"
"Mega Kangaskhan","Mud Slap","Earthquake","12.628","537.9","1083","3850"
"Golurk","Mud Slap","Earth Power","14.294","368.8","1077.2","2854"
"Mudsdale","Mud Slap","Earthquake","13.331","419.6","994.1","3046"
"Donphan","Mud Slap","Earthquake","13.255","408.4","951.2","3013"
"Golem","Mud Slap","Earthquake","13.011","394.3","868.4","2949"
"Sandaconda","Mud Slap","Earth Power","12.835","377.7","798.6","2790"
"Swampert","Mud Shot","Earthquake","12.27","388.3","717.2","2974"
"Flygon","Mud Shot","Earth Power","12.683","330.2","673.6","2661"
"Ho-Oh","Hidden Power (Ground)","Earthquake","11.271","463.9","664.3","3863"
"Shadow Sandslash","Mud Shot","Earthquake","12.811","275.9","580.1","2374"
"Seismitoad","Mud Shot","Earth Power","11.924","338.6","574.1","2564"
"Gastrodon","Mud Slap","Earth Power","11.276","320.2","459.1","2324"
"Shadow Kangaskhan","Mud Slap","Earthquake","11.545","298","458.6","2586"
"Palossand","Mud Shot","Earth Power","11.156","318.3","441.9","2444"
"Sandslash","Mud Shot","Earthquake","10.759","278.1","346.3","2374"
"Shadow Quagsire","Mud Shot","Earthquake","11.162","235.6","327.6","1992"
"Shadow Politoed","Mud Shot","Earthquake","10.474","260.9","299.8","2449"
"Bouffalant","Mud Shot","Earthquake","9.732","307.4","283.3","2797"
"Shadow Marowak","Mud Slap","Earthquake","10.894","215.3","278.3","1835"
"Shadow Graveler","Mud Slap","Dig","11.342","189","275.8","1897"
"Alolan Dugtrio","Mud Slap","Earthquake","11.865","162.9","272.1","1897"
"Kangaskhan","Mud Slap","Earthquake","9.624","298.1","265.8","2586"
"Mudbray","Mud Slap","Earthquake","10.96","193.4","254.7","1892"
"Heliolisk","Mud Slap","Bulldoze","10.288","226","246.1","2600"
"Shadow Marshtomp","Mud Shot","Mud Bomb","11.021","176.4","236.1","1776"
"Shadow Dugtrio","Mud Slap","Mud Bomb","12.062","132.7","232.9","1567"
"Galarian Stunfisk","Mud Shot","Earthquake","8.964","295","212.5","2162"
"Claydol","Mud Slap","Earth Power","9.167","263.9","203.3","1971"
"Quagsire","Mud Shot","Earthquake","9.361","237.1","194.5","1992"
"Politoed","Mud Shot","Earthquake","8.802","263.1","179.4","2449"
"Whiscash","Mud Shot","Mud Bomb","8.888","247.3","173.7","2075"
"Marowak","Mud Slap","Earthquake","9.13","216.5","164.8","1835"
"Stunfisk","Mud Shot","Mud Bomb","8.411","276.8","164.7","2162"
"Graveler","Mud Slap","Dig","9.417","188.3","157.3","1897"
"Gabite","Mud Shot","Dig","9.538","170.5","148","1874"
"Dugtrio","Mud Slap","Earthquake","10.034","132.5","133.8","1567"
"Marshtomp","Mud Shot","Mud Bomb","9.106","174.9","132.1","1776"
"Drilbur","Mud Slap","Drill Run","10.184","120.1","126.9","1376"
"Shadow Trapinch","Mud Shot","Dig","11.172","85.9","119.8","1274"
"Krokorok","Mud Slap","Earthquake","9.738","120.6","111.4","1418"
"Boldore","Mud Slap","Bulldoze","8.436","173","103.9","2029"
"Rhyhorn","Mud Slap","Bulldoze","8.38","169.3","99.6","1651"
"Palpitoad","Mud Shot","Earth Power","8.667","146.2","95.2","1392"
"Shadow Grimer","Mud Slap","Mud Bomb","8.838","110","75.9","1374"
"Shadow Vibrava","Mud Shot","Bulldoze","9.249","92.7","73.3","1225"
"Shadow Sandshrew","Mud Shot","Dig","8.714","103.4","68.4","1261"
"Diggersby","Mud Shot","Earthquake","7.214","181.3","68","1509"
"Trapinch","Mud Shot","Dig","9.201","84.9","66.1","1274"
"Sandygast","Mud Shot","Earth Power","8.057","119.7","62.6","1233"
