"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Galarian Darmanitan (Zen Mode)","Ice Fang","Avalanche","21.009","499","4626.6","3905"
"Shadow Mamoswine","Powder Snow","Avalanche","19.513","466.9","3468.9","3328"
"Shadow Weavile","Ice Shard","Avalanche","18.602","374.2","2408.3","3005"
"Galarian Darmanitan","Ice Fang","Avalanche","17.446","387.3","2056.5","3105"
"Mega Glalie","Frost Breath","Avalanche","16.071","460.2","1910.4","3229"
"Mamoswine","Powder Snow","Avalanche","16.016","459.9","1889.3","3328"
"Mega Abomasnow","Powder Snow","Weather Ball Ice","15.073","526.2","1802.2","3405"
"Glaceon","Frost Breath","Avalanche","15.075","409.7","1403.4","3126"
"Weavile","Ice Shard","Avalanche","15.335","370.1","1334.8","3005"
"Shadow Articuno","Frost Breath","Ice Beam","13.856","446.5","1187.8","3051"
"Avalugg","Ice Fang","Avalanche","12.584","514.4","1025","3198"
"Shadow Porygon-Z","Hidden Power (Ice)","Blizzard","14.959","304","1017.7","3266"
"Shadow Piloswine","Powder Snow","Avalanche","14.709","312.3","993.9","2345"
"Shadow Cloyster","Frost Breath","Avalanche","14.268","339.9","987.2","2547"
"Shadow Abomasnow","Powder Snow","Weather Ball Ice","14.293","317.5","927","2362"
"Shadow Walrein","Frost Breath","Blizzard","13.411","380.7","918.2","2726"
"Jynx","Frost Breath","Avalanche","14.482","297","901.9","2555"
"Aurorus","Frost Breath","Weather Ball Ice","12.477","431.6","838.2","2802"
"Shadow Lapras","Frost Breath","Ice Beam","12.463","397.8","770.1","2641"
"Beartic","Powder Snow","Ice Punch","12.861","344.3","732.3","3042"
"Shadow Sneasel","Ice Shard","Avalanche","14.8","221.9","719.3","2051"
"Vanilluxe","Frost Breath","Blizzard","12.843","335.2","710.2","2822"
"Frosmoth","Powder Snow","Ice Beam","13.307","293.6","691.7","2728"
"Articuno","Frost Breath","Blizzard","11.523","445.6","681.8","3051"
"Arctozolt","Powder Snow","Avalanche","12.398","345.7","658.9","2566"
"Regice","Frost Breath","Blizzard","10.737","494.9","612.5","3122"
"Porygon-Z","Hidden Power (Ice)","Blizzard","12.45","303.6","585.9","3266"
"Cloyster","Frost Breath","Avalanche","11.858","339","565.1","2547"
"Walrein","Frost Breath","Icicle Spear","11.339","386.2","563","2726"
"Mr. Rime","Ice Shard","Ice Punch","11.937","329.4","560.4","2827"
"Shadow Feraligatr","Ice Fang","Ice Beam","12.201","305.1","554.1","2857"
"Piloswine","Powder Snow","Avalanche","12.085","308","543.6","2345"
"Abomasnow","Powder Snow","Weather Ball Ice","11.763","313.5","510.3","2362"
"Shadow Alolan Sandslash","Powder Snow","Blizzard","12.075","287.4","506","2432"
"Mew","Frost Breath","Blizzard","10.554","395.5","465","3265"
"Shadow Suicune","Ice Fang","Ice Beam","10.748","372.9","463.1","2983"
"Lapras","Frost Breath","Blizzard","10.319","395.2","434.2","2641"
"Alolan Ninetales","Powder Snow","Weather Ball Ice","11.069","306.8","416","2309"
"Sneasel","Ice Shard","Avalanche","12.21","219.6","399.8","2051"
"Eiscue (Noice Face)","Powder Snow","Weather Ball Ice","11.54","241.7","371.4","2040"
"Cryogonal","Frost Breath","Aurora Beam","10.277","340.6","369.7","2798"
"Glalie","Frost Breath","Avalanche","10.895","274.3","354.8","2105"
"Froslass","Powder Snow","Avalanche","11.26","241.1","344.2","2040"
"Feraligatr","Ice Fang","Ice Beam","10.088","302.7","310.8","2857"
"Alolan Sandslash","Powder Snow","Blizzard","10.105","288.6","297.9","2432"
"Eiscue (Ice Face)","Powder Snow","Weather Ball Ice","9.801","280","263.6","2065"
"Suicune","Ice Fang","Ice Beam","8.905","370.8","261.8","2983"
"Starmie","Hidden Power (Ice)","Ice Beam","10.187","239.2","252.8","2584"
"Tapu Fini","Hidden Power (Ice)","Ice Beam","9.161","319.8","245.9","2857"
"Dewgong","Frost Breath","Blizzard","8.752","258.9","173.6","1985"
"Castform (Snowy)","Powder Snow","Weather Ball Ice","9.507","190","163.2","1632"
"Vanillish","Frost Breath","Ice Beam","9.424","154.1","129","1591"
"Shadow Sealeo","Powder Snow","Aurora Beam","9.031","170.4","125.5","1714"
"Galarian Darumaka","Ice Fang","Ice Beam","9.704","127.2","116.2","1442"
"Amaura","Frost Breath","Weather Ball Ice","9.02","154.5","113.4","1363"
"Alomomola","Hidden Power (Ice)","Blizzard","7.252","259.4","98.9","2169"
"Smoochum","Frost Breath","Ice Beam","9.745","102.5","94.9","1291"
"Shadow Snover","Ice Shard","Ice Beam","9.051","106.8","79.2","1159"
"Shadow Delibird","Ice Shard","Ice Punch","9.643","83.7","75.1","1094"
"Sealeo","Powder Snow","Aurora Beam","7.454","168.8","69.9","1714"
"Shadow Alolan Sandshrew","Powder Snow","Blizzard","8.622","109.1","69.9","1293"
"Snover","Ice Shard","Ice Beam","7.459","105.6","43.8","1159"
"Alolan Sandshrew","Powder Snow","Blizzard","7.274","110.5","42.5","1293"
"Delibird","Ice Shard","Ice Punch","7.931","82.6","41.2","1094"
"Cubchoo","Powder Snow","Ice Punch","7.954","79.1","39.8","1069"
"Vanillite","Powder Snow","Ice Beam","7.311","78.6","30.7","1033"
"Snorunt","Powder Snow","Avalanche","6.912","80.2","26.5","888"
"Alolan Vulpix","Powder Snow","Weather Ball Ice","6.957","78.4","26.4","883"
"Shadow Shellder","Ice Shard","Icy Wind","6.097","61.5","13.9","1080"
"Shadow Swinub","Powder Snow","Icy Wind","6.081","44.9","10.1","741"
"Shellder","Ice Shard","Icy Wind","5.077","61.4","8","1080"
"Seel","Ice Shard","Aurora Beam","4.331","72.8","5.9","971"
"Swinub","Powder Snow","Icy Wind","4.993","44.2","5.5","741"
"Snom","Powder Snow","Icy Wind","4.315","25.9","2.1","528"
