"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Shadow Ursaluna","Tackle","Return","18.404","609.1","3797","3854"
"Mega Lopunny","Pound","Hyper Beam","17.527","545.4","2936.1","3745"
"Meloetta (Pirouette Forme)","Quick Attack","Hyper Beam","16.854","569.9","2728.4","3915"
"Meloetta (Aria Forme)","Quick Attack","Hyper Beam","15.725","628.6","2444.3","3972"
"Shadow Porygon-Z","Lock-On","Tri-Attack","18.235","370.6","2247.1","3266"
"Porygon-Z","Lock-On","Return","15.828","386.1","1531","3266"
"Staraptor","Quick Attack","Return","15.567","356.7","1345.5","2825"
"Shadow Ambipom","Scratch","Hyper Beam","15.423","276.2","1013.4","2418"
"Shadow Porygon2","Lock-On","Hyper Beam","14.147","339.8","962.2","2711"
"Bewear","Tackle","Stomp","13.07","389.1","868.7","3117"
"Ambipom","Scratch","Return","13.595","292.2","734.2","2418"
"Silvally","Tackle","Tri-Attack","11.99","409.4","705.8","2950"
"Porygon2","Lock-On","Return","12.226","352.4","644.1","2711"
"Shadow Stantler","Tackle","Stomp","13.55","219.7","546.5","2164"
"Cinccino","Pound","Hyper Beam","12.873","253.9","541.6","2242"
"Type: Null","Tackle","Tri-Attack","11.295","360.3","519.3","2664"
"Stantler","Tackle","Return","12.62","245.5","493.4","2164"
"Blissey","Pound","Hyper Beam","9.258","604.1","479.4","2757"
"Mega Audino","Pound","Hyper Beam","9.988","474.5","472.8","2524"
"Slaking","Yawn","Body Slam","10.571","397","468.9","4431"
"Shadow Raticate","Quick Attack","Hyper Fang","12.98","186.1","407","1730"
"Girafarig","Tackle","Return","12.029","231","402.1","2046"
"Wigglytuff","Pound","Hyper Beam","10.933","247","322.8","1926"
"Greedent","Tackle","Body Slam","9.785","319.3","299.1","2370"
"Shadow Alolan Raticate","Quick Attack","Hyper Fang","11.172","214","298.4","1705"
"Lopunny","Pound","Hyper Beam","10.366","267.6","298.1","2059"
"Tauros","Tackle","Horn Attack","10.201","274.7","291.6","2620"
"Shadow Porygon","Tackle","Hyper Beam","11.537","179.3","275.4","1720"
"Miltank","Tackle","Body Slam","9.467","315.7","267.9","2354"
"Raticate","Quick Attack","Return","11.092","190.9","260.5","1730"
"Gumshoos","Take Down","Hyper Fang","10.685","207.9","253.5","2185"
"Shadow Snorlax","Yawn","Body Slam","8.985","329.8","239.2","3225"
"Dubwool","Tackle","Body Slam","9.523","268.9","232.2","2191"
"Shadow Bibarel","Take Down","Hyper Fang","11.012","173.2","231.3","1823"
"Vigoroth","Scratch","Body Slam","10.003","227.7","227.9","1968"
"Persian","Scratch","Return","10.444","194.8","222","1689"
"Porygon","Tackle","Return","10.36","193.2","214.8","1720"
"Furret","Quick Attack","Hyper Beam","9.834","203.5","193.5","1758"
"Sawsbuck","Take Down","Hyper Beam","9.579","219.4","192.9","2416"
"Castform","Tackle","Weather Ball","9.908","198","192.6","1632"
"Alolan Raticate","Quick Attack","Return","9.545","219.4","190.8","1705"
"Munchlax","Tackle","Body Slam","8.797","242.6","165.1","1892"
"Teddiursa","Scratch","Return","10.312","131.4","144.1","1328"
"Staravia","Quick Attack","Return","10.282","125.2","136.1","1299"
"Audino","Pound","Hyper Beam","8.144","246.5","133.1","1682"
"Aipom","Scratch","Return","9.76","138.5","128.7","1348"
"Bibarel","Take Down","Hyper Fang","8.986","169.6","123.1","1823"
"Snorlax","Yawn","Body Slam","7.223","318.2","119.9","3225"
"Diggersby","Quick Attack","Hyper Beam","7.753","194.8","90.8","1509"
"Shadow Aipom","Scratch","Swift","9.265","109.6","87.1","1348"
"Stufful","Tackle","Stomp","8.601","122.8","78.1","1352"
"Eevee","Quick Attack","Last Resort","7.626","109.9","48.7","1071"
"Yungoos","Tackle","Hyper Fang","8.93","65.6","46.7","880"
"Shadow Patrat","Tackle","Hyper Fang","8.767","63.8","43","791"
"Doduo","Quick Attack","Swift","8.393","71.9","42.5","1200"
"Buneary","Pound","Swift","7.455","100","41.4","1258"
"Shadow Alolan Rattata","Quick Attack","Hyper Fang","8.974","51.6","37.3","734"
"Shadow Rattata","Quick Attack","Hyper Fang","8.974","51.6","37.3","734"
"Chansey","Pound","Hyper Beam","5.171","257.6","35.6","1255"
"Whismur","Pound","Return","8.157","57.1","31","671"
"Shadow Whismur","Pound","Stomp","8.471","49.4","30","671"
"Patrat","Tackle","Return","7.628","66.6","29.6","791"
"Shadow Meowth","Scratch","Body Slam","7.943","57.7","28.9","748"
"Starly","Quick Attack","Return","8.044","55","28.6","719"
"Shadow Bidoof","Tackle","Hyper Fang","7.595","64.9","28.4","721"
"Alolan Rattata","Quick Attack","Return","7.918","54.6","27.1","734"
"Rattata","Quick Attack","Return","7.918","54.6","27.1","734"
"Meowth","Scratch","Return","7.365","64.2","25.6","748"
"Skwovet","Tackle","Body Slam","6.635","87","25.4","944"
"Bidoof","Tackle","Return","6.623","68","19.7","721"
"Jigglypuff","Pound","Body Slam","6.492","67.1","18.4","724"
"Minccino","Pound","Swift","5.994","63.6","13.7","872"
"Shadow Staraptor","Quick Attack","Frustration","4.678","89.3","9.1","2825"
"Wooloo","Tackle","Stomp","5.388","57.8","9","706"
"Fletchling","Quick Attack","Swift","5.539","52.2","8.9","800"
"Igglybuff","Pound","Body Slam","5.921","42.9","8.9","535"
"Slakoth","Yawn","Body Slam","4.618","58.3","5.7","1002"
"Galarian Zigzagoon","Tackle","Body Slam","4.571","39.5","3.8","508"
"Shadow Girafarig","Tackle","Frustration","3.753","60.1","3.2","2046"
"Shadow Persian","Scratch","Frustration","3.184","49.5","1.6","1689"
"Shadow Staravia","Quick Attack","Frustration","3.042","30.9","0.9","1299"
"Shadow Teddiursa","Scratch","Frustration","3.042","32.3","0.9","1328"
"Smeargle","Tackle","Struggle","2.737","30","0.6","431"
"Shadow Starly","Tackle","Frustration","2.313","13.2","0.2","719"
"Ditto","Transform","Struggle","1.513","16.6","0.1","832"
