"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Eternamax Eternatus","Poison Jab","Cross Poison","13.919","2345.7","6325.9","8187"
"Mega Beedrill","Poison Jab","Sludge Bomb","19.591","433.9","3262.6","3383"
"Nihilego","Poison Jab","Sludge Bomb","16.305","649.2","2814","3949"
"Eternatus","Poison Jab","Cross Poison","15.779","641.5","2520","4429"
"Roserade","Poison Jab","Sludge Bomb","15.849","374","1488.9","2971"
"Shadow Victreebel","Acid","Sludge Bomb","16.907","300.7","1452.9","2431"
"Shadow Vileplume","Acid","Sludge Bomb","16.214","334.5","1425.8","2559"
"Overqwil","Poison Jab","Sludge Bomb","14.792","406.7","1316.1","2946"
"Shadow Muk","Poison Jab","Gunk Shot","14.689","394","1248.7","2757"
"Shadow Skuntank","Poison Jab","Sludge Bomb","15.533","323.5","1212.4","2358"
"Toxicroak","Poison Jab","Sludge Bomb","14.366","309.9","918.7","2488"
"Shadow Drapion","Poison Sting","Sludge Bomb","13.83","324.5","858.4","2453"
"Shadow Nidoking","Poison Jab","Sludge Wave","14.207","289.4","829.9","2567"
"Shadow Weezing","Acid","Sludge Bomb","13.961","304.7","829.2","2293"
"Victreebel","Acid","Sludge Bomb","13.934","297.3","804.4","2431"
"Vileplume","Acid","Sludge Bomb","13.408","331.9","800","2559"
"Scolipede","Poison Jab","Sludge Bomb","13.507","302.8","746.1","2447"
"Alolan Muk","Poison Jab","Gunk Shot","12.248","394.2","724.4","2757"
"Muk","Poison Jab","Gunk Shot","12.248","394.2","724.4","2757"
"Skuntank","Poison Jab","Sludge Bomb","12.793","319.7","669.4","2358"
"Galarian Slowbro","Poison Jab","Sludge Bomb","12.486","342.3","666.3","2445"
"Shadow Nidoqueen","Poison Jab","Sludge Wave","12.741","307.5","636","2488"
"Shadow Beedrill","Poison Jab","Sludge Bomb","14.175","211.6","602.6","1846"
"Salazzle","Poison Jab","Sludge Wave","13.062","241.8","539","2479"
"Shadow Weepinbell","Acid","Sludge Bomb","14.711","162","515.9","1611"
"Hisuian Qwilfish","Poison Jab","Sludge Bomb","12.504","256.4","501.2","2136"
"Drapion","Poison Sting","Sludge Bomb","11.48","323.3","489.1","2453"
"Nidoking","Poison Jab","Sludge Wave","11.883","290.5","487.5","2567"
"Weezing","Acid","Sludge Bomb","11.586","303.4","471.9","2293"
"Galarian Slowking","Acid","Sludge Wave","10.889","340.4","439.5","2717"
"Dragalge","Acid","Gunk Shot","11.033","302.5","406.3","2383"
"Shadow Arbok","Acid","Gunk Shot","12.482","206.2","400.9","1921"
"Shadow Gloom","Acid","Sludge Bomb","12.754","189.3","392.8","1681"
"Roselia","Poison Jab","Sludge Bomb","12.628","194.5","391.7","1870"
"Nidoqueen","Poison Jab","Sludge Wave","10.661","308.8","374.2","2488"
"Beedrill","Poison Jab","Sludge Bomb","11.711","209.8","336.9","1846"
"Tentacruel","Poison Jab","Sludge Wave","9.867","314.4","302.1","2422"
"Weepinbell","Acid","Sludge Bomb","12.085","159.7","281.9","1611"
"Shadow Grimer","Poison Jab","Sludge Bomb","12.176","151.6","273.6","1374"
"Shadow Nidorino","Poison Jab","Sludge Bomb","11.919","148.5","251.5","1393"
"Arbok","Acid","Gunk Shot","10.471","207.5","238.3","1921"
"Gloom","Acid","Sludge Bomb","10.553","188","220.9","1681"
"Seviper","Poison Jab","Poison Fang","10.439","185","210.5","2105"
"Qwilfish","Poison Sting","Sludge Wave","9.727","183.8","169.2","2051"
"Shadow Bellsprout","Acid","Sludge Bomb","12.547","83.8","165.6","1033"
"Shadow Oddish","Acid","Sludge Bomb","11.162","117.2","163","1228"
"Alolan Grimer","Poison Jab","Sludge Bomb","10.003","149.4","149.5","1374"
"Grimer","Poison Jab","Sludge Bomb","10.003","149.4","149.5","1374"
"Shadow Nidorina","Poison Sting","Sludge Bomb","9.965","145.5","143.9","1309"
"Nidorino","Poison Jab","Sludge Bomb","9.845","147.2","140.5","1393"
