"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Mega Mewtwo Y","Confusion","Psystrike","26.355","999.7","18299.9","5610"
"Mega Mewtwo X","Confusion","Psystrike","25.513","967.8","16073.1","5429"
"Shadow Mewtwo","Confusion","Psystrike","25.4","662.7","10859.6","4178"
"Mega Alakazam","Confusion","Psychic","23.061","589.5","7230.5","4366"
"Mega Latios","Zen Headbutt","Psychic","20.135","806.6","6584.4","5007"
"Mega Gallade","Confusion","Psychic","20.579","708.2","6171.6","4521"
"Mega Gardevoir","Confusion","Psychic","20.582","705.4","6150.5","4512"
"Calyrex - Shadow Rider","Confusion","Psychic","20.846","665.2","6026.1","4540"
"Mewtwo","Confusion","Psystrike","20.918","654.9","5994.3","4178"
"Mega Metagross","Zen Headbutt","Psychic","18.01","856.8","5005.6","4911"
"Mega Latias","Zen Headbutt","Psychic","17.374","848.3","4449.2","4801"
"Shadow Latios","Zen Headbutt","Psychic","20.034","539.1","4335.1","3812"
"Hoopa (Unbound)","Confusion","Psychic","19.952","536.2","4259.4","4006"
"Shadow Metagross","Zen Headbutt","Psychic","19.175","552.4","3894.3","3791"
"Calyrex - Ice Rider","Confusion","Psychic","17.241","687","3521.3","4235"
"Shadow Alakazam","Confusion","Psychic","21.197","359.2","3420.8","3057"
"Lunala","Confusion","Psychic","16.793","667.4","3160.9","4035"
"Shadow Exeggutor","Confusion","Psychic","18.949","415.1","2824.6","3014"
"Shadow Gallade","Confusion","Psychic","18.684","417.5","2722.9","3093"
"Shadow Gardevoir","Confusion","Psychic","18.684","417.5","2722.9","3093"
"Shadow Latias","Zen Headbutt","Psychic","17.085","528.7","2636.4","3510"
"Latios","Zen Headbutt","Psychic","16.546","534.3","2420.7","3812"
"Metagross","Zen Headbutt","Psychic","15.852","548","2182.7","3791"
"Hoopa (Confined)","Confusion","Psychic","16.95","446.7","2175.3","3359"
"Mega Slowbro","Confusion","Psychic","14.526","701.8","2150.9","3755"
"Espeon","Confusion","Psychic","16.965","398.2","1944.3","3170"
"Alakazam","Confusion","Psychic","17.521","356.3","1916.4","3057"
"Shadow Lugia","Extrasensory","Future Sight","14.182","666.4","1901","3703"
"Meloetta (Aria Forme)","Confusion","Psyshock","14.755","589.8","1894.8","3972"
"Galarian Articuno","Confusion","Future Sight","15.212","496.9","1749.1","3590"
"Tapu Lele","Confusion","Future Sight","15.543","449.8","1689","3494"
"Azelf","Confusion","Future Sight","16.275","367.5","1584.3","3210"
"Exeggutor","Confusion","Psychic","15.598","410.1","1556.3","3014"
"Gallade","Confusion","Psychic","15.452","414.4","1528.9","3093"
"Gardevoir","Confusion","Psychic","15.452","414.4","1528.9","3093"
"Latias","Zen Headbutt","Psychic","14.142","525.1","1485.1","3510"
"Celebi","Confusion","Psychic","13.903","521","1400","3265"
"Jirachi","Confusion","Psychic","13.903","521","1400","3265"
"Victini","Confusion","Psychic","13.903","521","1400","3265"
"Armored Mewtwo","Confusion","Psystrike","12.885","600","1283.5","3187"
