"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Mega Diancie","Rock Throw","Rock Slide","20.351","590.3","4975.4","4346"
"Mega Tyranitar","Smack Down","Stone Edge","17.295","922.1","4770.1","5347"
"Mega Aerodactyl","Rock Throw","Rock Slide","17.782","626.1","3520.7","4118"
"Shadow Tyranitar","Smack Down","Stone Edge","17.314","533.5","2769.2","3834"
"Rhyperior","Smack Down","Rock Wrecker","15.931","602.9","2437.8","3733"
"Rampardos","Smack Down","Rock Slide","18.413","370.8","2314.5","3298"
"Terrakion","Smack Down","Rock Slide","15.696","505.1","1953.1","3698"
"Shadow Aerodactyl","Rock Throw","Rock Slide","16.97","350.1","1710.8","2783"
"Gigalith","Smack Down","Meteor Beam","15.146","483.6","1680.4","3228"
"Tyranitar","Smack Down","Stone Edge","14.405","532.6","1592","3834"
"Shadow Omastar","Rock Throw","Rock Slide","15.702","366.8","1419.8","2786"
"Shadow Golem","Rock Throw","Stone Edge","15.213","384.2","1352.5","2949"
"Stonjourner","Rock Throw","Rock Slide","14.048","460.9","1277.9","3218"
"Landorus (Incarnate Forme)","Rock Throw","Rock Slide","13.613","409.4","1033","3588"
"Shadow Aggron","Smack Down","Stone Edge","13.674","402.2","1028.3","3000"
"Tyrantrum","Rock Throw","Stone Edge","13.588","404","1013.7","3128"
"Aerodactyl","Rock Throw","Rock Slide","14.032","347.4","959.7","2783"
"Mega Aggron","Smack Down","Stone Edge","11.652","575.5","910.4","4162"
"Omastar","Rock Throw","Rock Slide","13.027","365.2","807.3","2786"
"Alolan Golem","Rock Throw","Stone Edge","12.703","384.9","789.1","2949"
"Golem","Rock Throw","Stone Edge","12.703","384.9","789.1","2949"
"Lycanroc (Dusk Form)","Rock Throw","Stone Edge","13.855","292.1","776.9","2678"
"Lycanroc (Midday Form)","Rock Throw","Stone Edge","13.855","292.1","776.9","2678"
"Lycanroc (Midnight Form)","Rock Throw","Stone Edge","13.195","325.7","748.3","2744"
"Regirock","Rock Throw","Stone Edge","10.891","502","648.5","3122"
"Diancie","Rock Throw","Rock Slide","11.836","374.6","621.1","2734"
"Aggron","Smack Down","Stone Edge","11.426","403.3","601.5","3000"
"Shadow Sudowoodo","Rock Throw","Rock Slide","13.046","269.5","598.4","2148"
"Minior (Core)","Rollout","Power Gem","13.136","226.3","512.9","2292"
"Crustle","Smack Down","Rock Slide","11.584","323.2","502.4","2542"
"Lunatone","Rock Throw","Rock Slide","11.608","300.4","470","2327"
"Solrock","Rock Throw","Rock Slide","11.608","300.4","470","2327"
"Shadow Graveler","Rock Throw","Rock Slide","12.804","213.4","447.9","1897"
"Aurorus","Rock Throw","Ancient Power","10.649","368.3","444.7","2802"
"Carracosta","Rock Throw","Ancient Power","10.822","308.9","391.4","2621"
"Shadow Probopass","Rock Throw","Rock Slide","10.559","301.1","354.4","2080"
"Sudowoodo","Rock Throw","Rock Slide","10.824","268.3","340.2","2148"
"Togekiss","Hidden Power (Rock)","Ancient Power","9.731","333.7","307.5","3332"
"Boldore","Smack Down","Rock Slide","11.013","225.8","301.7","2029"
"Coalossal","Smack Down","Rock Slide","9.348","355.1","290","2352"
"Graveler","Rock Throw","Rock Slide","10.629","212.6","255.2","1897"
"Starmie","Hidden Power (Rock)","Power Gem","9.939","233.3","229.1","2584"
"Probopass","Rock Throw","Rock Slide","8.811","301.5","206.2","2080"
"Alolan Graveler","Rock Throw","Stone Edge","10.041","200.8","203.3","1897"
"Shadow Geodude","Rock Throw","Rock Slide","10.607","121.7","145.3","1293"
"Magcargo","Rock Throw","Stone Edge","8.663","188.2","122.4","1702"
"Alolan Geodude","Rock Throw","Rock Slide","8.816","121.4","83.2","1293"
"Geodude","Rock Throw","Rock Slide","8.816","121.4","83.2","1293"
"Carkol","Smack Down","Rock Slide","7.608","186.2","82","1512"
"Bonsly","Rock Throw","Rock Slide","8.412","131.3","78.2","1302"
"Minior (Meteor Form)","Rollout","Power Gem","7.374","181.8","72.9","1542"
"Dunsparce","Rollout","Rock Slide","7.355","175.2","69.7","1689"
"Carbink","Rock Throw","Rock Slide","6.551","207.3","58.3","1467"
"Roggenrola","Smack Down","Power Gem","7.895","110.3","54.3","1205"
"Bastiodon","Smack Down","Stone Edge","6.003","213.2","46.1","1539"
"Dwebble","Smack Down","Rock Blast","7.312","110.3","43.1","1224"
"Shadow Nosepass","Rock Throw","Rock Slide","6.936","107.9","36","993"
"Togetic","Hidden Power (Rock)","Ancient Power","6.333","138.7","35.2","1708"
"Rockruff","Rock Throw","Stone Edge","7.47","68.9","28.7","950"
"Onix","Rock Throw","Rock Slide","5.993","129.4","27.9","1101"
"Nosepass","Rock Throw","Rock Slide","5.82","108.7","21.4","993"
"Slugma","Rock Throw","Rock Slide","6.993","56.3","19.3","895"
"Rolycoly","Smack Down","Rock Slide","5.277","45.4","6.7","612"
"Togepi","Hidden Power (Rock)","Ancient Power","3.515","40.3","1.7","657"
"Shadow Shuckle","Rock Throw","Stone Edge","2.49","59.2","0.9","405"
"Shuckle","Rock Throw","Stone Edge","2.165","61.8","0.6","405"
