"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Mega Metagross","Bullet Punch","Meteor Mash","20.414","971.2","8261.6","4911"
"Shadow Metagross","Bullet Punch","Meteor Mash","21.763","627","6462.6","3791"
"Zacian - Crowned Sword","Metal Claw","Iron Head","18.861","690.9","4635.8","4979"
"Metagross","Bullet Punch","Meteor Mash","17.983","621.7","3615.5","3791"
"Mega Aggron","Iron Tail","Heavy Slam","14.682","725.2","2295","4162"
"Dialga","Metal Claw","Iron Head","15.968","551","2243.1","4038"
"Mega Scizor","Bullet Punch","Iron Head","15.337","580.2","2093.3","4087"
"Zamazenta - Crowned Shield","Metal Claw","Iron Head","14.435","636.6","1914.7","4172"
"Mega Lucario","Bullet Punch","Flash Cannon","16.06","435.6","1804.3","3826"
"Mega Aerodactyl","Steel Wing","Iron Head","14.554","512.4","1579.7","4118"
"Genesect","Metal Claw","Magnet Bomb","15.353","430.9","1559.7","3353"
"Genesect - Burn Drive","Metal Claw","Magnet Bomb","15.353","430.9","1559.7","3353"
"Genesect - Chill Drive","Metal Claw","Magnet Bomb","15.353","430.9","1559.7","3353"
"Genesect - Douse Drive","Metal Claw","Magnet Bomb","15.353","430.9","1559.7","3353"
"Genesect - Shock Drive","Metal Claw","Magnet Bomb","15.353","430.9","1559.7","3353"
"Shadow Scizor","Bullet Punch","Iron Head","16.163","342.6","1446.7","3001"
"Excadrill","Metal Claw","Iron Head","15.402","395.6","1445.4","3244"
"Mega Steelix","Iron Tail","Heavy Slam","12.791","654.5","1369.6","3670"
"Shadow Aggron","Iron Tail","Heavy Slam","14.637","430.6","1350.3","3000"
"Shadow Machamp","Bullet Punch","Heavy Slam","14.563","325.3","1004.8","3056"
"Zacian - Hero of Many Battles","Metal Claw","Iron Head","12.395","446.9","851.2","3829"
"Zamazenta - Hero of Many Battles","Metal Claw","Iron Head","12.395","446.9","851.2","3829"
"Shadow Hariyama","Bullet Punch","Heavy Slam","13.772","325.7","850.7","2829"
"Bisharp","Metal Claw","Iron Head","13.716","323.6","835","2844"
"Duraludon","Metal Claw","Flash Cannon","13.36","346.7","826.8","3067"
"Scizor","Bullet Punch","Iron Head","13.399","340.8","820","3001"
"Aggron","Iron Tail","Heavy Slam","12.16","429.2","771.7","3000"
"Shadow Aerodactyl","Steel Wing","Iron Head","13.847","285.6","758.5","2783"
"Cobalion","Metal Claw","Iron Head","11.524","437.1","669","3022"
"Durant","Metal Claw","Iron Head","12.848","300.5","637.3","2659"
"Empoleon","Metal Claw","Flash Cannon","11.982","354.3","609.6","2900"
"Shadow Alolan Sandslash","Metal Claw","Gyro Ball","12.442","296.2","570.5","2432"
"Machamp","Bullet Punch","Heavy Slam","12.035","322.6","562.3","3056"
"Lucario","Bullet Punch","Flash Cannon","12.549","258.9","511.8","2703"
"Shadow Lairon","Metal Claw","Heavy Slam","12.301","257.6","479.5","2056"
"Mew","Steel Wing","Flash Cannon","10.55","395.4","464.3","3265"
"Hariyama","Bullet Punch","Heavy Slam","11.304","320.8","463.4","2829"
"Perrserker","Metal Claw","Iron Head","11.814","271.4","447.4","2386"
"Aerodactyl","Steel Wing","Iron Head","11.499","284.6","432.8","2783"
"Corviknight","Steel Wing","Iron Head","10.399","352.5","396.4","2457"
"Pangoro","Bullet Punch","Iron Head","11.03","284.7","382","2902"
"Shadow Skarmory","Steel Wing","Flash Cannon","10.858","269.4","344.8","2108"
"Alolan Sandslash","Metal Claw","Gyro Ball","10.351","295.7","327.9","2432"
"Steelix","Iron Tail","Heavy Slam","9.389","366.5","303.4","2414"
"Alolan Dugtrio","Metal Claw","Iron Head","11.989","164.6","283.7","1897"
"Lairon","Metal Claw","Heavy Slam","10.244","257.4","276.8","2056"
"Ferrothorn","Metal Claw","Flash Cannon","9.29","297.7","238.6","2321"
"Registeel","Metal Claw","Flash Cannon","8.533","364.2","226.2","2447"
"Skarmory","Steel Wing","Flash Cannon","9.124","271.6","206.3","2108"
"Galarian Stunfisk","Metal Claw","Flash Cannon","8.731","287.4","191.3","2162"
"Shadow Metang","Metal Claw","Gyro Ball","10.006","187.9","188.2","1721"
"Metang","Metal Claw","Gyro Ball","8.341","187.9","109.1","1721"
"Shadow Aron","Metal Claw","Iron Head","9.39","128.8","106.6","1307"
"Shadow Alolan Sandshrew","Metal Claw","Gyro Ball","9.294","117.6","94.4","1293"
"Aron","Metal Claw","Iron Head","7.838","129","62.1","1307"
"Alolan Sandshrew","Metal Claw","Gyro Ball","7.739","117.6","54.5","1293"
"Bastiodon","Iron Tail","Flash Cannon","5.933","210.7","44","1539"
"Galarian Meowth","Metal Claw","Gyro Ball","7.343","82.9","32.8","1035"
"Ferroseed","Metal Claw","Iron Head","5.713","95.7","17.8","941"
"Shieldon","Iron Tail","Heavy Slam","5.382","91.8","14.3","890"
