"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Mega Swampert","Water Gun","Hydro Cannon","20.118","858.8","6992.3","4401"
"Primal Kyogre","Waterfall","Surf","19.789","803.7","6228.4","5227"
"Mega Blastoise","Water Gun","Hydro Cannon","18.695","730.1","4770.1","3941"
"Ash Greninja","Bubble","Surf","20.672","465.8","4114.5","3984"
"Mega Gyarados","Waterfall","Hydro Pump","17.073","788.8","3925.5","4717"
"Shadow Swampert","Water Gun","Hydro Cannon","18.92","498.9","3379.3","2974"
"Shadow Feraligatr","Water Gun","Hydro Cannon","18.45","461.4","2897.7","2857"
"Kyogre","Waterfall","Surf","16.447","610.2","2714.9","4115"
"Shadow Gyarados","Waterfall","Hydro Pump","17.122","459.7","2307.6","3391"
"Swampert","Water Gun","Hydro Cannon","15.61","494","1879.1","2974"
"Mega Sharpedo","Waterfall","Hydro Pump","16.911","383.8","1856.4","3273"
"Kingler","Bubble","Crabhammer","16.982","371.9","1821.4","2829"
"Feraligatr","Water Gun","Hydro Cannon","15.255","457.7","1624.9","2857"
"Samurott","Waterfall","Hydro Cannon","15.541","428.5","1608.5","2826"
"Volcanion","Water Gun","Hydro Pump","14.749","484.7","1555","3628"
"Empoleon","Waterfall","Hydro Cannon","15.13","447.4","1549.5","2900"
"Shadow Blastoise","Water Gun","Hydro Cannon","15.554","405.4","1525.4","2466"
"Clawitzer","Water Gun","Crabhammer","15.736","383.9","1495.9","2763"
"Wishiwashi (School Form)","Waterfall","Surf","15.337","391.2","1411.2","3232"
"Inteleon","Water Gun","Surf","16.21","330.3","1406.7","2964"
"Gyarados","Waterfall","Hydro Pump","14.23","458.5","1321.3","3391"
"Crawdaunt","Waterfall","Crabhammer","15.736","300","1169.1","2474"
"Manaphy","Bubble","Surf","13.161","493.2","1124.3","3265"
"Shadow Omastar","Water Gun","Hydro Pump","14.717","343.8","1095.7","2786"
"Primarina","Waterfall","Hydro Pump","13.836","413.4","1094.8","3200"
"Shadow Politoed","Bubble","Weather Ball Water","14.32","356.7","1047.3","2449"
"Shadow Sharpedo","Waterfall","Hydro Pump","17.691","187.5","1038","2181"
"Crabominable","Bubble","Crabhammer","14.27","354.5","1030.2","2907"
"Shadow Kingdra","Waterfall","Hydro Pump","14.071","333.3","928.6","2641"
"Shadow Lapras","Water Gun","Surf","13.022","415.6","917.7","2641"
"Drednaw","Waterfall","Surf","13.499","372.3","915.6","2838"
"Vaporeon","Water Gun","Hydro Pump","12.657","451.4","915.3","3114"
"Blastoise","Water Gun","Hydro Cannon","12.903","403.5","867","2466"
"Greninja","Bubble","Surf","14.038","310.7","859.6","2654"
"Mega Slowbro","Water Gun","Water Pulse","11.426","552.1","823.5","3755"
"Shadow Kabutops","Waterfall","Water Pulse","14.213","280.9","806.4","2713"
"Milotic","Waterfall","Surf","12.094","453.7","802.5","3005"
"Shadow Golduck","Water Gun","Hydro Pump","13.905","291.8","784.5","2450"
"Shadow Poliwrath","Bubble","Hydro Pump","13.233","338.1","783.4","2586"
"Urshifu (Rapid Strike Style)","Waterfall","Aqua Jet","12.414","397","759.3","3606"
"Tapu Fini","Water Gun","Surf","11.75","410.2","665.4","2857"
"Omastar","Water Gun","Hydro Pump","12.343","346","650.6","2786"
"Floatzel","Waterfall","Hydro Pump","13.504","257.5","634.1","2443"
"Shadow Walrein","Waterfall","Water Pulse","12.126","344.2","613.8","2726"
"Simipour","Water Gun","Surf","13.183","265.4","607.9","2350"
"Carracosta","Water Gun","Surf","12.077","344.7","607.1","2621"
"Sharpedo","Waterfall","Hydro Pump","14.681","186.7","590.8","2181"
"Politoed","Bubble","Weather Ball Water","11.815","353.1","582.3","2449"
"Wailord","Water Gun","Surf","12.224","313.2","572.2","2280"
"Starmie","Water Gun","Hydro Pump","12.43","291.8","560.4","2584"
"Mew","Waterfall","Surf","11.028","413.3","554.2","3265"
"Kingdra","Waterfall","Hydro Pump","11.731","333.5","538.4","2641"
"Lapras","Water Gun","Surf","10.813","414.1","523.6","2641"
"Shadow Seadra","Water Gun","Hydro Pump","13.328","212.2","502.4","2093"
"Golduck","Water Gun","Hydro Pump","11.643","293.2","462.8","2450"
"Kabutops","Waterfall","Water Pulse","11.815","280.2","462","2713"
"Shadow Bibarel","Water Gun","Surf","13.076","205.7","460","1823"
"Bruxish","Water Gun","Aqua Tail","12.245","250.2","459.2","2389"
"Poliwrath","Bubble","Hydro Pump","11.025","338","453","2586"
"Barraskewda","Waterfall","Aqua Jet","12.666","213.4","433.7","2656"
"Pelipper","Water Gun","Weather Ball Water","11.808","263.3","433.5","2127"
"Shadow Slowbro","Water Gun","Water Pulse","11.357","295.9","433.4","2545"
"Golisopod","Waterfall","Aqua Jet","10.718","351.3","432.5","3162"
"Shadow Swanna","Water Gun","Bubble Beam","12.374","206.2","390.7","2088"
"Shadow Marshtomp","Water Gun","Surf","12.47","199.6","387","1776"
