Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Stunfisk (Galarian),96.7,618,ground,steel,101.8,127.9,169,2200089,26.5,Mud Shot,Rock Slide,Earthquake,5,8,5,75000
Registeel,96.2,379,steel,none,95.5,189.6,130,2353244,23,Lock On,Focus Blast,Zap Cannon,15,16,20,100000
Trevenant,95.4,709,ghost,grass,127.8,104.6,131,1752077,22,Shadow Claw,Seed Bomb,Shadow Ball,5,7,5,75000
Swampert,94.9,260,water,ground,123,108.6,136,1815930,18.5,Mud Shot,Hydro Cannon,Earthquake,5,8,3,10000
Bastiodon,94.3,411,rock,steel,81.1,246.7,138,2761698,47.5,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Swampert (Shadow),94,260,water,ground,123,108.6,136,1815930,18.5,Mud Shot,Hydro Cannon,Earthquake,5,8,3,10000
Medicham,93.7,308,fighting,psychic,105,140.3,142,2093069,50,Counter,Ice Punch,Psychic,6,8,3,50000
Altaria,93.5,334,dragon,flying,103.4,153.3,136,2156405,28.5,Dragon Breath,Sky Attack,Moonblast,15,20,1,10000
Lickitung,93,108,normal,none,98.3,126.9,183,2282878,50,Lick,Body Slam,Power Whip,12,17,3,50000
Scrafty,92.9,560,dark,fighting,110.4,155.4,117,2007526,24.5,Counter,Foul Play,Power-Up Punch,7,5,3,50000
Diggersby,91.1,660,normal,ground,96.3,141.2,171,2324733,48,Mud Shot,Fire Punch,Earthquake,5,8,1,10000
Whiscash,91,340,water,ground,107.6,107.6,178,2060545,27,Mud Shot,Mud Bomb,Blizzard,5,9,1,10000
Dubwool,90.3,832,normal,none,111,141.7,128,2013564,26,Double Kick,Body Slam,Payback,3,5,3,10000
Guzzlord,90.1,799,dark,dragon,114.7,63.9,265,1942949,20,Dragon Tail,Dragon Claw,Crunch,4,5,20,100000
Machamp (Shadow),89.9,68,fighting,none,136.4,97.2,124,1644073,17.5,Counter,Cross Chop,Rock Slide,5,7,3,50000
Skarmory,89.9,227,steel,flying,106.2,163.1,122,2113576,27,Air Slash,Brave Bird,Sky Attack,7,5,5,75000
Abomasnow (Shadow),89.8,460,grass,ice,117.9,111.4,143,1877258,23.5,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Walrein,89.8,365,ice,water,113.1,114.3,153,1978119,20.5,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Nidoqueen (Shadow),89.7,31,poison,ground,117.8,116.5,139,1908186,22,Poison Jab,Poison Fang,Earth Power,5,8,3,50000
Runerigus,89.7,867,ground,ghost,112.2,168.3,106,2002086,25,Shadow Claw,Sand Tomb,Shadow Ball,5,7,3,50000
Kommo-o,89.5,784,dragon,fighting,123.7,138.4,105,1797551,16.5,Dragon Tail,Close Combat,Dragon Claw,5,4,5,75000
Lanturn,89.5,171,water,electric,104.8,104.8,194,2131348,27,Spark,Surf,Thunderbolt,5,7,3,50000
Regirock,89.3,377,rock,none,103.7,180.2,115,2149641,18,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Toxapex,89.3,748,poison,water,92.3,222,118,2416922,38.5,Poison Jab,Brine,Sludge Wave,8,10,3,50000
Mandibuzz,89.2,630,dark,flying,92.3,149.2,176,2424943,27,Snarl,Foul Play,Aerial Ace,4,4,5,75000
Nidoqueen,89.2,31,poison,ground,117.8,116.5,139,1908186,22,Poison Jab,Poison Fang,Earth Power,5,8,3,50000
Castform (Snowy),89,351,ice,none,113.4,119.6,146,1979669,38.5,Powder Snow,Weather Ball (Ice),Blizzard,5,10,5,75000
Walrein (Shadow),89,365,ice,water,113.1,114.3,153,1978119,20.5,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Froslass,88.9,478,ice,ghost,122.6,115.6,128,1813850,27.5,Powder Snow,Avalanche,Shadow Ball,6,7,3,50000
Sableye,88.9,302,dark,ghost,121,123.5,124,1853355,45.5,Shadow Claw,Foul Play,Return,6,9,5,75000
Azumarill,88.8,184,water,fairy,93.7,134.1,190,2387435,43.5,Bubble,Ice Beam,Play Rough,5,6,3,50000
Cresselia,88.8,488,psychic,none,93.2,158.3,163,2404853,20,Psycho Cut,Grass Knot,Moonblast,6,7,20,100000
Dragonite (Shadow),88.7,149,dragon,flying,135.8,108.4,111,1633580,14.5,Dragon Breath,Dragon Claw,Superpower,12,14,5,75000
Cofagrigus,88.5,563,ghost,none,112.2,168.3,106,2002086,25,Shadow Claw,Shadow Ball,Dark Pulse,7,7,3,50000
Umbreon,88.4,197,dark,none,90.2,177,155,2475791,27,Snarl,Foul Play,Last Resort,4,5,5,75000
Steelix,88.1,208,steel,ground,98.4,185.2,124,2260578,23.5,Dragon Tail,Psychic Fangs,Earthquake,4,8,5,75000
Beedrill (Shadow),88,15,bug,poison,127.6,106.2,129,1749201,31,Poison Jab,X-Scissor,Drill Run,5,7,1,10000
Wobbuffet,87.9,202,psychic,none,63,101.7,333,2133829,50,Counter,Return,Mirror Coat,10,8,3,50000
Abomasnow,87.8,460,grass,ice,117.9,111.4,143,1877258,23.5,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Vigoroth,87.8,288,normal,none,117.7,112.7,144,1909363,28.5,Counter,Body Slam,Bulldoze,5,9,5,75000
Lurantis,87.7,754,grass,none,126.9,114.6,121,1760366,23.5,Fury Cutter,Leaf Blade,Superpower,9,10,3,50000
Tropius,87.7,357,grass,flying,101.4,127.3,170,2195741,29,Air Slash,Leaf Blade,Aerial Ace,4,5,5,75000
Deoxys (Defense),87.6,386,psychic,none,101,221.5,98,2192628,23.5,Counter,Psycho Boost,Thunderbolt,5,8,20,100000
Snorlax,87.6,143,normal,none,108.4,101.7,187,2061936,17.5,Lick,Body Slam,Superpower,12,14,5,75000
